"HydroID","fragforest_1985_pct","fragforest_1990_pct","fragforest_1995_pct","fragforest_2002_pct","fragforest_2006_pct","fragforest_2010_pct","fragforest_2015_pct"
"201495996",0.271967966535487,0.298648760216859,0.322481217491813,0.338401629193384,0.348019924594766,0.352202988689215,0.35159754520186
"201495997",0.316676064698026,0.312087846861552,0.314616411930554,0.315388039768512,0.313340258198546,0.315061581837068,0.313993174061433
"201495998",0.393786733837112,0.429890848026868,0.452560873215785,0.459277917716205,0.472712006717044,0.478589420654912,0.474391267842149
"201495999",0.404169079328315,0.393746381007528,0.405327156919514,0.423277359583092,0.414012738853503,0.412854661262305,0.411117544875507
"201496000",0.227752086623054,0.230120685765847,0.245347394540943,0.255329348071284,0.23666253101737,0.238072411459508,0.235929393187458
"201496001",0.57258064516129,0.57258064516129,0.573732718894009,0.57258064516129,0.571428571428571,0.57258064516129,0.570276497695853
"201496002",0.114556416881998,0.113695090439276,0.113049095607235,0.113049095607235,0.113049095607235,0.108311800172265,0.104220499569337
"201496003",0.142706131078224,0.119450317124736,0.118393234672304,0.124735729386892,0.096723044397463,0.119450317124736,0.119978858350951
"201496004",0.391267842149454,0.389588581024349,0.451721242653233,0.434089000839631,0.427371956339211,0.427371956339211,0.425692695214106
"201496005",0.25431249742281,0.253712298578308,0.253249549850867,0.254747756126839,0.251011403778046,0.252188893114207,0.250369969898424
"201496006",0.252713178294574,0.269767441860465,0.302325581395349,0.307751937984496,0.324031007751938,0.32015503875969,0.32093023255814
"201496007",0.0897145236663119,0.0975338916392912,0.149585897376579,0.223106463702401,0.0954055429602554,0.150187387220654,0.100726414657845
"201496008",0.372210223182145,0.389848812095032,0.408027357811375,0.415586753059755,0.42170626349892,0.419996400287977,0.423776097912167
"201496009",0.219809126285354,0.234265962303528,0.25839692167221,0.278158220830888,0.283136589925868,0.274332050696754,0.27274505967521
"201496010",0.351451721809588,0.355840648210668,0.368332207967589,0.388251181634031,0.383524645509791,0.383862255232951,0.37812288993923
"201496011",0.297499066815976,0.291899962672639,0.295632698768197,0.299365434863755,0.296005972377753,0.298992161254199,0.300858529301978
"201496012",0.253266198911912,0.252664995137992,0.25221181502053,0.253692051585106,0.249975519164509,0.251118717249766,0.249315105928006
"201496013",0.064131245339299,0.0745712155108128,0.0753169276659209,0.0782997762863535,0.0805369127516778,0.0797912005965697,0.081282624906786
"201496014",0.266492251962165,0.288798551016301,0.311169249345945,0.34092171463071,0.335697323405112,0.332541758905212,0.332904004829946
"201496015",0.445252525252525,0.429090909090909,0.420606060606061,0.410909090909091,0.406464646464646,0.405656565656566,0.405252525252525
"201496016",0.366873864961833,0.371509988335868,0.390246423245582,0.406709090640641,0.413500863736361,0.413796158218784,0.414180041045933
"201496017",0.0848459265512875,0.0840016884761503,0.0852680455888561,0.0835795694385817,0.0831574504010131,0.07809202195019,0.0789362600253271
"201496018",0.408574380165289,0.430785123966942,0.43595041322314,0.431301652892562,0.454028925619835,0.451446280991736,0.452479338842975
"201496019",0.30832154340836,0.313826366559486,0.327408360128617,0.326379421221865,0.325967845659164,0.328745980707396,0.324090032154341
"201496020",0.338072669826224,0.310689836756187,0.30173775671406,0.285413375460769,0.273301737756714,0.266982622432859,0.268035808320168
"201496021",0.168013077668593,0.175326746542381,0.181051711773805,0.183547688433412,0.184698926997701,0.187555136213632,0.185828975411619
"201496022",0.463180362860192,0.454642475987193,0.449306296691569,0.445037353255069,0.462113127001067,0.457844183564568,0.456776947705443
"201496023",0.0865746549560853,0.0915934755332497,0.0890840652446675,0.0890840652446675,0.0777917189460477,0.0771643663739021,0.0696361355081556
"201496024",0.206789162254749,0.194643413266895,0.215820616630333,0.196823419495484,0.18997197134849,0.193397695421987,0.190906259732171
"201496025",0.471957671957672,0.465608465608466,0.464550264550265,0.463492063492064,0.46984126984127,0.464550264550265,0.468783068783069
"201496026",0.34083850931677,0.339285714285714,0.339285714285714,0.360248447204969,0.40916149068323,0.414596273291925,0.410714285714286
"201496027",0.36568418331071,0.369287699566932,0.38709521039364,0.405177428737638,0.413515609850688,0.413790317367979,0.414307413871114
"201496028",0.287523733266848,0.294926594683748,0.300471548847378,0.306810009205631,0.308635552913199,0.31125580146523,0.310091912469794
"201496029",0.46220633299285,0.455056179775281,0.451991828396323,0.449438202247191,0.460674157303371,0.456077630234934,0.457609805924413
"201496030",0.370755750273823,0.386637458926616,0.417305585980285,0.416392844103687,0.407447973713034,0.407995618838992,0.406717780211756
"201496031",0.412611575007198,0.450619061330262,0.447739706305788,0.449467319320472,0.44860351281313,0.44514828678376,0.448315577310682
"201496032",0.172077922077922,0.178571428571429,0.271103896103896,0.323863636363636,0.293831168831169,0.293831168831169,0.296672077922078
"201496033",0.282030620467365,0.282836422240129,0.296535052377115,0.371474617244158,0.370668815471394,0.37389202256245,0.37389202256245
"201496034",0.440175631174533,0.435236004390779,0.434138309549945,0.440175631174533,0.437980241492865,0.442919868276619,0.440724478594951
"201496035",0.373768472906404,0.370689655172414,0.386083743842365,0.398399014778325,0.390394088669951,0.393472906403941,0.393472906403941
"201496036",0.354397051079516,0.400737230121116,0.39652448657188,0.399684044233807,0.402843601895735,0.404949973670353,0.40810953133228
"201496037",0.582599118942731,0.585903083700441,0.587004405286344,0.587004405286344,0.587004405286344,0.585903083700441,0.587004405286344
"201496038",0.316309719934102,0.345140032948929,0.35996705107084,0.332784184514003,0.336902800658979,0.397858319604613,0.398682042833608
"201496039",0.2752,0.271466666666667,0.276266666666667,0.2656,0.2864,0.299733333333333,0.2944
"201496040",0.287914169186566,0.29528195967444,0.300803617654479,0.307120403949097,0.308967732138608,0.311570731147388,0.310414506966639
"201496041",0.269769603097773,0.290571151984511,0.312054211035818,0.339918683446273,0.334892545982575,0.33184123910939,0.33215876089061
"201496042",0.303719008264463,0.284607438016529,0.274793388429752,0.247933884297521,0.244318181818182,0.244318181818182,0.241219008264463
"201496043",0.375703782208386,0.43564946678148,0.464595615022852,0.471086970921375,0.472345499105783,0.475259985427568,0.473074120686229
"201496044",0.527045769764216,0.53213129912159,0.539528432732316,0.533980582524272,0.533055940822931,0.530282015718909,0.525658807212205
"201496045",0.425674452290422,0.44848814050335,0.448669201520913,0.44667753032772,0.466594242259642,0.462067716820569,0.468042730400145
"201496046",0.393512219017036,0.403853480650955,0.409894954552877,0.413051760735862,0.425352419310945,0.423175311598541,0.423774016219452
"201496047",0.403652392947103,0.398614609571788,0.402392947103275,0.405541561712846,0.429471032745592,0.430100755667506,0.427581863979849
"201496048",0.314125208517319,0.310224708075753,0.312831174565793,0.313886026886468,0.312009371013639,0.313769502502208,0.312733048768521
"201496049",0.332225913621262,0.338870431893688,0.387873754152824,0.392857142857143,0.397009966777409,0.396179401993355,0.399501661129568
"201496050",0.378597122302158,0.383093525179856,0.393884892086331,0.410971223021583,0.415467625899281,0.41726618705036,0.41726618705036
"201496051",0.33557780595514,0.36815180796642,0.380481832888811,0.414498710156967,0.422019150889773,0.420182764199204,0.421931703904508
"201496052",0.168012918670817,0.175346387014697,0.181144969292529,0.183676556328508,0.184813096283041,0.18766001744366,0.185939607943857
"201496053",0.227475987086166,0.241111712687241,0.264031763219635,0.283903828029437,0.288014598247408,0.279813110349115,0.27810864464898
"201496054",0.354184641932701,0.359792924935289,0.390422778257118,0.401207937877481,0.405522001725626,0.40595340811044,0.407679033649698
"201496055",0.321556031406138,0.334760885082084,0.339757316202712,0.340827980014276,0.365453247680228,0.395788722341185,0.394361170592434
"201496056",0.313419455252918,0.309428793774319,0.312136964980545,0.313220233463035,0.311109727626459,0.312877821011673,0.311763424124514
"201496057",0.373790951638066,0.371294851794072,0.37597503900156,0.408424336973479,0.406864274570983,0.410920436817473,0.409672386895476
"201496058",0.34568345323741,0.355395683453237,0.389208633093525,0.377697841726619,0.371942446043165,0.384892086330935,0.384172661870504
"201496059",0.239765332786801,0.24266024491469,0.258671927037967,0.266024491468976,0.248296357022083,0.250576420556438,0.248193882256494
"201496060",0.20612332902113,0.214532125916343,0.221000431220354,0.234152652005175,0.230918499353169,0.238464855541182,0.239111686071583
"201496061",0.376806636449158,0.384161464123835,0.394509535619601,0.398272470708971,0.408107414692551,0.406910117164115,0.40502864961943
"201496062",0.415068493150685,0.417123287671233,0.427397260273973,0.419178082191781,0.456164383561644,0.451369863013699,0.464383561643836
"201496063",0.412371134020619,0.385925593904079,0.385029134917078,0.377409233527566,0.375616315553563,0.377409233527566,0.375616315553563
"201496064",0.270579268292683,0.328506097560976,0.366615853658537,0.399390243902439,0.400914634146341,0.387957317073171,0.378048780487805
"201496065",0.332197956321378,0.351232217992386,0.352434381887397,0.371869364856742,0.369665397715889,0.372069725505911,0.371468643558405
"201496066",0.373868157866437,0.377115818905259,0.401720615119905,0.42309925798473,0.433745564039144,0.43417571781912,0.435229594580062
