"HydroID","openwater_1985_pct","openwater_1990_pct","openwater_1995_pct","openwater_2002_pct","openwater_2006_pct","openwater_2010_pct","openwater_2015_pct"
"201495080",0.00790797987059669,0.0136592379583034,0.0125808770668584,0.00682961897915169,0.00682961897915169,0.00718907260963336,0.00718907260963336
"201495081",0.0383661553272084,0.0387036184417052,0.0372883661553272,0.0363701525647197,0.0361896490383609,0.036289056777515,0.0356115145553858
"201495082",0.00889877641824249,0.0122358175750834,0.0122358175750834,0.0122358175750834,0.0122358175750834,0.0122358175750834,0.0111234705228031
"201495083",0.022354173943416,0.0216556060076842,0.0213063220398184,0.0199091861683549,0.0199091861683549,0.0199091861683549,0.019559902200489
"201495084",0.196103526734926,0.191695108077361,0.190557451649602,0.188993174061433,0.188993174061433,0.190557451649602,0.188282138794084
"201495085",0.0122328181519237,0.010457086484709,0.0099309437684972,0.00953633673133837,0.00940480105228543,0.0094705688918119,0.00940480105228543
"201495086",0.0697412823397075,0.0697412823397075,0.0686164229471316,0.0641169853768279,0.0641169853768279,0.0641169853768279,0.0641169853768279
"201495087",0.0689533861037819,0.0675461741424802,0.0672530049838757,0.0667839343301085,0.0667839343301085,0.0667839343301085,0.066490765171504
"201495088",0.130513869940882,0.123692587539791,0.120509322419281,0.120509322419281,0.120054570259209,0.120054570259209,0.11869031377899
"201495089",0.00237868696479543,0.0025372660957818,0.00237868696479543,0.00222010783380907,0.00206152870282271,0.00206152870282271,0.00206152870282271
"201495090",0.0111185983827493,0.0138140161725067,0.0129716981132075,0.0102762803234501,0.0102762803234501,0.01044474393531,0.0101078167115903
"201495091",0.0111034004163775,0.0104094378903539,0.0104094378903539,0.00971547536433033,0.00971547536433033,0.00971547536433033,0.00902151283830673
"201495092",0.0128928283642224,0.0072522159548751,0.0072522159548751,0.0048348106365834,0.0048348106365834,0.0048348106365834,0.0048348106365834
"201495093",0.033196988558895,0.032426344181635,0.032426344181635,0.0420297587290296,0.040784871658071,0.0425040014227281,0.0420297587290296
"201495094",0,0,0,0,0,0,0
"201495095",0,0,0,0,0,0,0
"201495096",0.0174418604651163,0.0169573643410853,0.0169573643410853,0.0159883720930233,0.0159883720930233,0.0159883720930233,0.0145348837209302
