HydroID,catch_strdrf_pct
201481644,0.011627907
201481648,0.000108319
201481651,0.061879158
201481652,0.000289519
201481659,0.484948495
201481663,0.669212053
201481664,3.66E-05
201481665,2.73E-05
201481667,0.000118723
201481668,9.49E-05
201481671,9.22E-05
201481681,0.057305879
201481682,0.018951661
201481688,0.000354484
201481689,0.000211595
201481699,0.205485545
201481700,0.167211187
201481711,0.146688996
201481712,0.96716548
201481732,7.17E-05
201481733,5.36E-05
201481739,0.607924922
201481740,0.491949396
201481741,0.644361834
201481746,0.000104822
201481747,0.00021645
201481748,8.76E-05
201481762,0.003875969
201481796,6.33E-05
201481800,9.20E-05
201481824,0.205997125
201481825,0.082063061
201481831,3.47E-05
201481873,2.26E-05
201481887,0.638805707
201481902,0.366069155
201481912,7.23E-05
201481922,0.0828107
201481938,0.946012806
201481940,0.04728925
201481946,0.256357728
201481949,0.000976563
201481954,0.284675102
201481955,0.409377706
201481972,6.05E-05
201481977,0.002020202
201481982,0.350932112
201481985,5.55E-05
201481986,0.002262443
201481990,6.11E-05
201482005,0.780809859
201482006,3.77E-05
201482012,0.008130081
201482013,0.053949904
201482014,0.017784133
201482016,0.058351186
201482017,0.000108085
201482031,0.25704526
201482037,0.088852272
201482041,0.294009358
201482047,0.021276596
201482055,3.85E-05
201482058,4.57E-05
201482059,0.00093985
201482062,5.68E-05
201482072,0.028179243
201482103,3.05E-05
201482104,0.001154734
201482117,6.68E-05
201482118,3.35E-05
201482134,0.032345718
201482135,7.46E-05
201482137,0.313574507
201482138,0.165852273
201482145,0.001983443
201482158,0.207962794
201482159,9.16E-05
201482170,7.99E-05
201482171,4.78E-05
201482175,7.02E-05
201482177,0.291011788
201482197,5.44E-05
201482198,0.00010014
201482203,0.008779768
201482231,0.50504609
201482239,0.432961482
201482249,3.44E-05
201482255,0.257287329
201482256,0.303317993
201482257,4.19E-05
201482264,0.000194175
201482265,0.000117316
201482285,2.02E-05
201482286,7.16E-05
201482294,0.020629033
201482314,0.000530786
201482317,3.84E-05
201482329,0.386715867
201482333,4.21E-05
201482361,8.78E-05
201482362,9.91E-05
201482364,0.000276447
201482365,0.074180166
201482369,0.000342818
201482382,2.91E-05
201482386,0.231435501
201482387,0.002881844
201482391,5.29E-05
201482392,3.92E-05
201482398,0.066943153
201482409,0.005291005
201482428,0.223240194
201482430,0.121911133
201482434,0.380581516
201482435,0.016553589
201482444,2.32E-05
201482456,0.050388101
201482467,0.003140539
201482476,4.68E-05
201482491,0.000104789
201482505,0.228411291
201482538,2.79E-05
201482543,0.580054383
201482548,0.469096355
201482549,0.048077452
201482556,0.186837276
201482557,0.074753305
201482564,8.43E-05
201482566,0.364242774
201482577,0.005882353
201482585,6.42E-05
201482627,9.13E-05
201482628,0.191676394
201482649,0.208659092
201482650,0.626120858
201482655,1.79E-05
201482656,3.31E-05
201482658,0.000128025
201482663,0.532741867
201482670,3.17E-05
201482671,3.12E-05
201482681,0.128139905
201482683,0.000107701
201482686,0.130951523
201482687,0.088229877
201482692,4.26E-05
201482709,8.86E-05
201482714,4.98E-05
201482715,6.13E-05
201482716,0.000346861
201482735,0.27977743
201482736,0.446056407
201482738,0.586019214
201482740,3.87E-05
201482747,8.53E-05
201482755,0.394565633
201482759,0.000221092
201482760,0.581514763
201482765,0.000106326
201482776,5.94E-05
201482779,0.000263227
201482780,3.12E-05
201482781,7.21E-05
201482786,0.000168976
201482788,0.000574383
201482800,0.000182482
201482801,0.085944783
201482805,0.000204666
201482819,0.000115969
201482820,0.002202643
201482828,5.40E-05
201482829,3.44E-05
201482838,0.000268456
201482868,8.25E-05
201482869,7.07E-05
201482877,5.68E-05
201482895,4.58E-05
201482899,0.110812926
201482903,0.024575514
201482904,0.085367021
201482910,0.262497537
201482911,0.943485764
201482915,0.000198531
201482919,6.61E-05
201482920,0.000899281
201482926,4.78E-05
201482927,9.61E-05
201482931,3.55E-05
201482937,6.83E-05
201482939,9.58E-05
201482941,2.57E-05
201482945,0.983833718
201482961,6.59E-05
201482965,0.000324044
201482966,5.08E-05
201482982,0.084236749
201482983,2.75E-05
201483014,0.016651249
201483015,0.039351852
201483018,0.000202306
201483019,4.82E-05
201483020,0.072794393
201483025,7.68E-05
201483031,0.787160431
201483033,0.030854503
201483039,0.003205128
201483044,0.064806994
201483050,4.06E-05
201483053,0.000156104
201483054,0.000108944
201483062,0.442295293
201483070,0.399025369
201483091,7.33E-05
201483098,0.057606297
201483115,5.10E-05
201483116,0.030695922
201483119,7.54E-05
201483120,0.001070664
201483127,7.03E-05
201483128,1.78E-05
201483139,0.000132205
201483140,3.82E-05
201483141,0.156673548
201483143,7.08E-05
201483150,5.04E-05
201483154,0.072717896
201483156,0.002518892
201483159,0.000101184
201483160,0.000197824
201483174,2.55E-05
201483183,0.265292637
201483185,0.000363617
201483198,1.34E-05
201483204,0.319346454
201483205,0.238766887
201483215,3.89E-05
201483218,0.304833936
201483219,0.000206526
201483220,0.000697107
201483233,0.691140323
201483234,0.055360008
201483242,0.550272061
201483250,5.04E-05
201483252,4.92E-05
201483254,3.70E-05
201483255,0.00010004
201483272,3.44E-05
201483276,0.055844868
201483284,0.000105574
201483285,5.54E-05
201483295,3.50E-05
201483296,4.02E-05
201483299,2.81E-05
201483311,0.011278414
201483319,0.133163048
201483324,4.14E-05
201483325,0.277769946
201483326,1.083333333
201483327,0.800530288
201483328,0.00014339
201483329,0.15030837
201483335,2.71E-05
201483336,7.96E-05
201483338,0.160889659
201483339,0.168688911
201483343,0.235126652
201483347,0.844822058
201483376,0.051371115
201483387,0.130638867
201483388,0.109982068
201483394,1.000641026
201483398,2.65E-05
201483400,0.369390389
201483401,0.043108552
201483402,0.154136224
201483403,0.144312048
201483409,0.334345154
201483421,0.272048436
201483422,0.000107515
201483423,6.44E-05
201483432,0.753872905
201483433,0.656305483
201483434,0.111514491
201483435,0.45755952
201483436,0.442066857
201483454,0.000160798
201483464,0.896478873
201483471,0.059074834
201483476,0.292763158
201483477,0.015253524
201483481,0.07168922
201483492,0.043658088
201483493,0.020405673
201483497,0.308331794
201483498,0.672137262
201483506,0.000787333
201483540,0.046804176
201483543,5.13E-05
201483544,8.96E-05
201483550,1.95E-05
201483557,0.474729723
201483559,1.38E-05
201483563,0.030016971
201483570,1.91E-05
201483572,0.139342687
201483573,6.08E-05
201483574,0.023978537
201483575,0.015433547
201483580,0.653333333
201483581,0.037420043
201483582,7.31E-05
201483584,2.69E-05
