"HydroID","turf_1985_pct","turf_1990_pct","turf_1995_pct","turf_2002_pct","turf_2006_pct","turf_2010_pct","turf_2015_pct"
"201489096",0.0355731225296443,0.0426877470355731,0.0450592885375494,0.0442687747035573,0.0442687747035573,0.0442687747035573,0.041897233201581
"201489097",0.0494587478057343,0.0539350497366881,0.0550906963136337,0.0637214745465184,0.0732153306026916,0.0770918665886483,0.0796811000585138
"201489098",0.16595380667237,0.149700598802395,0.151839178785287,0.165098374679213,0.164670658682635,0.164670658682635,0.167664670658683
"201489099",0.0289005817249343,0.0333489322360837,0.0365896993977302,0.0419793105284984,0.0449324491418701,0.0455069453163343,0.04537911040599
"201489100",0,0,0,0,0,0,0
"201489101",0,0,0,0,0,0,0
"201489104",0.0354980235008464,0.039090761038538,0.0417655738756656,0.0451263626986986,0.0506388459811184,0.050683261692436,0.0509645611974476
"201489105",0.0215641173087982,0.0230017251293847,0.0241518113858539,0.0273145485911443,0.0299022426682001,0.0299022426682001,0.0299022426682001
"201489106",0.0349013657056146,0.0386949924127466,0.0386949924127466,0.043247344461305,0.0447647951441578,0.0447647951441578,0.0447647951441578
"201489107",0.0143765551562068,0.0146530273707492,0.0154824440143766,0.0154824440143766,0.0174177495161736,0.0174177495161736,0.0174177495161736
"201489108",0.0560821484992101,0.0576619273301738,0.0600315955766193,0.0742496050552923,0.0766192733017378,0.0766192733017378,0.0766192733017378
"201489111",0.0213256843549292,0.0241109101868596,0.0261686516597036,0.0299931408617572,0.0323626613456382,0.0323210908108333,0.0328199372284924
"201489112",0.0884325230511316,0.0933221570271025,0.0959765297569153,0.113020396758871,0.113998323554065,0.11469684269349,0.114277731209835
"201489116",0.018212089925682,0.0193282547832315,0.020332803155026,0.0206862553599167,0.0225093246272474,0.0225279273748733,0.0226395438606282
"201489117",0.0069967707212056,0.00672766415500538,0.00672766415500538,0.00672766415500538,0.00807319698600646,0.00807319698600646,0.00807319698600646
"201489118",0.0825958702064897,0.0837020648967552,0.0855457227138643,0.102507374631268,0.103244837758112,0.103244837758112,0.102507374631268
"201489119",0.0152574698029243,0.0184361093452003,0.0190718372536554,0.0190718372536554,0.0228862047043865,0.0222504767959313,0.0222504767959313
"201489120",0.0383476227591582,0.042244738893219,0.0456742010911925,0.0558067030397506,0.0576773187840998,0.0576773187840998,0.0576773187840998
"201489121",0.0108374384236453,0.0108374384236453,0.00985221674876847,0.00985221674876847,0.00985221674876847,0.00985221674876847,0.00985221674876847
"201489124",0,0,0,0,0,0,0
"201489125",0.0066006600660066,0.0063006300630063,0.0063006300630063,0.0063006300630063,0.0072007200720072,0.0081008100810081,0.0078007800780078
"201489126",0.00273672687465791,0.00273672687465791,0.00273672687465791,0.00437876299945265,0.0060207991242474,0.0060207991242474,0.0060207991242474
"201489127",0.0263752825923135,0.0263752825923135,0.0331574981160512,0.0346646571213263,0.0414468726450641,0.0414468726450641,0.0414468726450641
"201489132",0.017785252912022,0.0188409168172628,0.0198071176796865,0.0201470772423912,0.0219631770115765,0.0219810696201399,0.0220884252715203
"201489133",0.0550284697256554,0.0624171257986059,0.0654378239627873,0.0780347025746843,0.0820942089103505,0.08467172952697,0.0848454551256142
"201489134",0.0631594091693842,0.0704009207749856,0.0757241511605601,0.0869940533282179,0.104354498369461,0.104834068674468,0.105121810857472
"201489135",0.0311044148841266,0.0318775647760839,0.0329877287235097,0.0328291338738774,0.0349305156315049,0.0349106912753008,0.0349503399877089
"201489136",0.0389487391973482,0.0396294542441103,0.0409020954184918,0.0408429028057298,0.0435065703800166,0.0434769740736356,0.0433585888481118
