"area_sqkm","length_km","HydroID"
6.5466,11.067078404,"201482760"
0.7866,2.057485774,"201482765"
1.4085,2.003005339,"201482776"
2.0844,5.033484356,"201482779"
4.4802,8.128382797,"201482780"
19.2798,42.654539245,"201482781"
4.896,8.334767415,"201482786"
9.8667,21.717259709,"201482788"
20.7549,30.295191797,"201482800"
2.3319,2.704202366,"201482801"
13.6404,31.13843121,"201482805"
9.315,16.445885045,"201482819"
17.8677,26.509617125,"201482820"
1.5579,2.730135568,"201482828"
2.4291,2.685185236,"201482829"
3.699,6.604754475,"201482838"
1.0134,1.468168858,"201482868"
1.1826,1.683834567,"201482869"
1.4715,1.579055742,"201482877"
1.8297,3.044961076,"201482895"
1.4958,2.572963294,"201482899"
0.9711,2.787552752,"201482903"
0.918,1.783890861,"201482904"
66.681,133.398489598,"201482910"
9.2052,16.790482363,"201482911"
8.5149,9.893144799,"201482915"
22.7061,49.156283966,"201482919"
2.2887,3.614699042,"201482920"
1.773,2.945972572,"201482926"
0.9639,1.045891128,"201482927"
2.3787,2.397388378,"201482931"
3.3651,8.700380837,"201482937"
0.8721,2.174966585,"201482939"
3.2544,4.006509647,"201482941"
75.9951,150.574309891,"201482945"
1.2681,3.676392656,"201482961"
25.2531,53.178072198,"201482965"
1.6461,3.624375684,"201482966"
3.9726,6.846872896,"201482982"
3.0375,5.727658487,"201482983"
2.169,3.886078384,"201483014"
1.2645,2.564107515,"201483015"
3.8034,4.494016468,"201483018"
1.7325,1.648615893,"201483019"
5.7789,7.796949833,"201483020"
4.2903,4.639043934,"201483025"
1.305,2.113969257,"201483031"
15.6105,16.624806558,"201483033"
21.4155,24.553582688,"201483039"
383.2533,461.092606901,"201483044"
2.0601,2.057278235,"201483050"
3.2724,4.894046228,"201483053"
0.9801,1.905656462,"201483054"
3.5631,7.061239401,"201483062"
77.8833,153.877563617,"201483070"
1.1421,1.638795935,"201483091"
7.4538,9.139460539,"201483098"
1.6389,1.102295332,"201483115"
1.5093,3.596895103,"201483116"
1.1088,1.233717751,"201483119"
4.8636,5.171476833,"201483120"
1.1889,0.986260441,"201483127"
12.1617,12.81442117,"201483128"
7.6428,14.135012319,"201483139"
2.187,4.176768552,"201483140"
1.863,3.745780963,"201483141"
1.1799,1.594798759,"201483143"
1.6578,2.076814288,"201483150"
405.3177,486.872383531,"201483154"
9.8631,18.51795688,"201483156"
0.8262,0.132083714,"201483159"
3.6765,3.659732695,"201483160"
13.9851,18.870104448,"201483174"
4.5459,11.126993076,"201483183"
17.2539,23.163254889,"201483185"
6.2757,6.231568449,"201483198"
6.1983,13.191638711,"201483204"
28.3041,58.794234662,"201483205"
2.1474,4.505380088,"201483215"
0.7632,1.612340189,"201483218"
10.6947,15.24119418,"201483219"
6.8868,10.950793397,"201483220"
2.3472,4.100819749,"201483233"
3.4902,5.986254666,"201483234"
6.12,13.864360553,"201483242"
1.6596,0.992618265,"201483250"
1.6974,1.977420735,"201483252"
2.2896,3.893354168,"201483254"
0.8361,2.082911585,"201483255"
2.4282,2.97117857,"201483272"
1.2204,1.795684186,"201483276"
0.8298,0.539301428,"201483284"
1.5354,1.825050257,"201483285"
2.4831,5.605281013,"201483295"
2.0772,3.774305704,"201483296"
3.0816,5.750543339,"201483299"
1.4382,3.092694267,"201483311"
2.0196,2.42378583,"201483319"
2.0754,5.061917372,"201483324"
1.1934,2.046147111,"201483325"
3.7053,6.34410439,"201483326"
6.2469,10.786990245,"201483327"
3.4029,3.706329916,"201483328"
1.4382,1.355872616,"201483329"
3.0969,5.009957733,"201483335"
5.9031,6.933643834,"201483336"
8.7165,20.241789207,"201483338"
13.4982,25.683490376,"201483339"
12.6027,19.34239981,"201483343"
13.8438,20.942948767,"201483347"
0.9144,1.645267373,"201483376"
4.4343,11.96433278,"201483387"
0.9801,0.792678978,"201483388"
5.0292,8.876311472,"201483394"
3.1554,3.363924809,"201483398"
6.84,17.049003249,"201483400"
3.1635,8.692442413,"201483401"
3.4803,6.993912571,"201483402"
0.8208,0.463883679,"201483403"
70.7355,143.722761054,"201483409"
1.6848,3.888720896,"201483421"
0.7776,1.733722894,"201483422"
10.2969,13.756938918,"201483423"
72.6129,146.71094103,"201483432"
82.9962,163.16163188,"201483433"
1.3815,1.160735727,"201483434"
37.2483,74.607474858,"201483435"
68.3001,137.48979612,"201483436"
5.8689,14.250810324,"201483454"
11.988,26.532701706,"201483464"
426.0933,514.225607696,"201483471"
7.4313,17.891737642,"201483476"
6.1497,12.407870428,"201483477"
1.0998,1.578205487,"201483481"
432.3393,519.50503667,"201483492"
3.4254,3.714426324,"201483493"
0.9054,1.448378003,"201483497"
30.2031,60.772195759,"201483498"
0.9558,0.391809462,"201483506"
1.6416,1.99707055,"201483540"
1.6299,2.074833274,"201483543"
0.9333,1.310368177,"201483544"
4.2885,1.807931957,"201483550"
1.5777,2.131860489,"201483557"
6.0642,4.951016277,"201483559"
2.5083,6.542488715,"201483563"
4.3767,2.820543146,"201483570"
7.5402,13.829720596,"201483572"
1.3761,2.313200083,"201483573"
1.4949,1.770189498,"201483574"
3.9681,4.460838271,"201483575"
5.4756,6.366452444,"201483580"
0.7848,1.111599055,"201483581"
13.374,12.4592304,"201483582"
3.1131,6.128219627,"201483584"
9.3123,21.530709067,"201483585"
6.2757,7.557506425,"201483586"
1.3059,3.776650272,"201483589"
13.6908,29.751627976,"201483595"
0.9045,1.632243898,"201483600"
0.8001,0.806914259,"201483601"
4.3596,7.900630282,"201483604"
7.9416,9.531060243,"201483605"
157.8798,313.657710999,"201483617"
0.909,1.244693205,"201483622"
1.9863,5.136758162,"201483633"
0.9846,3.307054604,"201483634"
1.2024,2.175902718,"201483635"
0.9999,0.687696116,"201483637"
18.5238,16.175887997,"201483638"
2.9961,4.245736118,"201483640"
28.3374,58.27557863,"201483641"
159.0948,315.028875839,"201483642"
22.7547,36.487451195,"201483643"
1.7901,1.130103436,"201483645"
0.9576,2.092471451,"201483652"
1.5777,1.797759993,"201483660"
19.4652,41.649247376,"201483665"
10.6947,24.002983966,"201483669"
1.1745,1.079453266,"201483670"
1.2636,2.014451342,"201483688"
1.0251,2.321157514,"201483689"
1.8756,3.287573778,"201483692"
2.3832,4.694957562,"201483693"
2.0952,3.148738498,"201483706"
6.1848,6.63389703,"201483716"
1.2285,1.449901914,"201483717"
1.2222,1.78671631,"201483723"
3.3444,9.211170007,"201483733"
182.3265,353.53597395,"201483734"
1.0062,1.032741125,"201483735"
8.7183,9.998074974,"201483737"
2.2941,2.886924629,"201483738"
5.4963,2.799658049,"201483739"
183.3363,354.585357991,"201483741"
2.9331,4.969459833,"201483742"
1.3572,1.56110176,"201483746"
7.0236,4.400732514,"201483751"
440.1711,525.037214786,"201483752"
14.5476,19.958261581,"201483763"
2.1195,1.634901038,"201483764"
4.6431,8.710056915,"201483766"
4.7817,9.705454427,"201483767"
