"HydroID","cnt","fragforest_2002_sum","fragforest_2002_pct"
201483276,1313,319,0.242955064737243
201483401,3405,581,0.170631424375918
201483325,1285,442,0.343968871595331
201483435,2952,983,0.332994579945799
201483219,436,176,0.403669724770642
201483220,2834,759,0.267819336626676
201483218,824,248,0.300970873786408
201483299,3322,1383,0.416315472606863
201483343,1232,472,0.383116883116883
201483328,630,207,0.328571428571429
201483471,0,0,NA
201483327,441,150,0.340136054421769
201483338,1251,434,0.346922462030376
201483311,1546,535,0.346054333764554
201483255,897,376,0.41917502787068
201483398,0,0,NA
201483336,0,0,NA
201483402,381,206,0.540682414698163
201483570,0,0,NA
201483284,0,0,NA
201483575,0,0,NA
201483324,2231,789,0.35365307037203
201483477,1714,627,0.365810968494749
201483329,1544,486,0.314766839378238
201483846,0,0,NA
201483400,1813,602,0.332046332046332
201483326,1,1,1
201483394,144,78,0.541666666666667
201483376,979,388,0.39632277834525
201483643,2865,813,0.283769633507853
201483347,279,70,0.25089605734767
201483423,0,0,NA
201483789,3874,1778,0.458957150232318
201483434,1489,106,0.071188717259906
201483493,0,0,NA
201483633,2134,789,0.369728209934395
201483409,1218,321,0.263546798029557
201483388,1060,408,0.384905660377359
201483543,1755,476,0.271225071225071
201483432,1145,330,0.2882096069869
201483751,0,0,NA
201483454,561,35,0.0623885918003565
201483403,879,348,0.395904436860068
201483464,124,20,0.161290322580645
201483422,0,0,NA
201483421,1816,556,0.306167400881057
201483476,851,77,0.09048178613396
201483436,917,334,0.36423118865867
201483739,0,0,NA
201483559,0,0,NA
201483589,1408,579,0.411221590909091
201483481,1184,490,0.413851351351351
201483550,0,0,NA
201483557,1695,594,0.350442477876106
201483498,239,63,0.263598326359833
201483585,355,79,0.222535211267606
201483544,1005,457,0.454726368159204
201483584,3353,1210,0.360870861914703
201483693,2567,913,0.355668095052591
201483497,972,356,0.366255144032922
201483595,856,324,0.378504672897196
201483492,0,0,NA
201483787,2723,943,0.346309217774513
201483506,1031,292,0.283220174587779
201483572,468,112,0.239316239316239
201483752,0,0,NA
201483540,1766,414,0.234428086070215
201483641,1098,374,0.340619307832423
201483617,2446,968,0.395748160261652
201483574,0,0,NA
201483573,1482,564,0.380566801619433
201483640,470,263,0.559574468085106
201483763,0,0,NA
201483582,0,0,NA
201483605,0,0,NA
201483600,969,182,0.187822497420021
201483563,2706,908,0.335550628233555
201483933,2176,753,0.346047794117647
201483738,0,0,NA
201483581,0,0,NA
201483637,0,0,NA
201483638,0,0,NA
201483692,2016,786,0.389880952380952
201483835,943,278,0.294803817603393
201483580,0,0,NA
201483635,1294,428,0.330757341576507
201483586,0,0,NA
201483689,1096,245,0.223540145985401
201483601,866,356,0.41108545034642
201483622,983,427,0.434384537131231
201483737,0,0,NA
201483706,2260,706,0.312389380530973
201483645,0,0,NA
201483794,2638,735,0.278620166793025
201483604,226,71,0.314159292035398
201484085,8182,1997,0.24407235394769
201483793,1317,459,0.348519362186788
201483767,3313,1014,0.306067008753396
201483764,0,0,NA
201483716,0,0,NA
201483857,2210,523,0.236651583710407
201483723,0,0,NA
201483634,1060,396,0.373584905660377
201483670,1269,498,0.392434988179669
201483642,44,20,0.454545454545455
201483962,2659,425,0.15983452425724
201483688,1362,514,0.377386196769457
201483733,404,124,0.306930693069307
201483946,0,0,NA
201483660,1697,750,0.441956393635828
201483840,2169,972,0.448132780082988
201483665,65,0,0
201483771,1092,427,0.391025641025641
201483652,1029,384,0.373177842565598
201483836,2525,965,0.382178217821782
201483735,1085,392,0.361290322580645
201483669,510,194,0.380392156862745
201484121,5098,1641,0.321890937622597
201483717,0,0,NA
201484035,2625,975,0.371428571428571
201483766,413,140,0.338983050847458
201483746,0,0,NA
201483734,509,179,0.351669941060904
201483742,3154,966,0.306277742549144
201483821,0,0,NA
201483964,0,0,NA
201483910,2226,668,0.300089847259659
201483905,0,0,NA
201483884,344,0,0
201483790,1741,589,0.338311315336014
201483863,1310,439,0.335114503816794
201483801,1149,468,0.407310704960835
201483741,4,0,0
201483819,0,0,NA
201483820,0,0,NA
201483781,1552,588,0.378865979381443
201483921,2153,428,0.198792382721784
201483818,0,0,NA
201483982,0,0,NA
201483769,0,0,NA
201483945,0,0,NA
201483949,2502,978,0.390887290167866
201483788,1158,464,0.400690846286701
201483830,0,0,NA
201483950,1974,585,0.296352583586626
201483879,722,263,0.364265927977839
201483935,0,0,NA
201483963,1831,565,0.308574549426543
201483875,634,289,0.45583596214511
201483951,885,327,0.369491525423729
201483977,0,0,NA
201484082,0,0,NA
201483911,769,208,0.270481144343303
201483848,854,344,0.402810304449649
201483858,78,27,0.346153846153846
201484280,3547,1341,0.378065971243304
201484108,0,0,NA
201484060,1305,484,0.37088122605364
201484073,0,0,NA
201483876,950,212,0.223157894736842
201483952,1383,574,0.415039768618944
201484384,3040,741,0.24375
201483899,909,138,0.151815181518152
201483922,1699,472,0.27781047675103
201484276,3095,854,0.275928917609047
201484086,3045,238,0.0781609195402299
201483994,0,0,NA
201484041,0,0,NA
201484012,603,139,0.230514096185738
201484071,1171,280,0.239111870196413
201483934,2586,707,0.273395204949729
201484115,1156,433,0.374567474048443
201483988,0,0,NA
201483987,0,0,NA
201483959,0,0,NA
201484338,3488,950,0.272362385321101
201484136,682,0,0
201484265,2304,838,0.363715277777778
201484175,1340,103,0.076865671641791
201484229,2223,812,0.365272154745839
201484286,2558,975,0.381157154026583
201483967,1849,610,0.329908058409951
201484011,1385,506,0.365342960288809
201484000,0,0,NA
201484029,3164,826,0.261061946902655
201484122,0,0,NA
201484320,1577,0,0
201484305,3649,334,0.0915319265552206
201484017,1111,507,0.456345634563456
201484264,1084,0,0
201484158,0,0,NA
201484156,2110,629,0.298104265402844
201484188,909,317,0.348734873487349
201484412,4657,0,0
201484045,1445,445,0.307958477508651
201484051,85,31,0.364705882352941
201484046,57,25,0.43859649122807
201484129,0,0,NA
201484145,1366,565,0.413616398243045
201484263,394,0,0
201484127,1217,281,0.230895645028759
201484190,1565,322,0.205750798722045
201484050,871,387,0.444316877152698
201484187,2004,719,0.358782435129741
201484065,1449,203,0.140096618357488
201484201,1326,373,0.281297134238311
201484192,1864,501,0.268776824034335
201484076,2030,598,0.294581280788177
201484287,1706,715,0.419109026963658
201484180,475,63,0.132631578947368
201484107,0,0,NA
201484130,0,0,NA
201484081,0,0,NA
201484555,0,0,NA
201484196,979,374,0.382022471910112
201484114,413,98,0.23728813559322
201484195,3046,364,0.119500984898227
201484123,0,0,NA
201484425,2064,0,0
201484148,3742,0,0
201484230,671,388,0.578241430700447
201484218,0,0,NA
201484139,815,0,0
201484462,2490,804,0.32289156626506
201484189,1129,426,0.377325066430469
201484154,0,0,NA
201484140,19,0,0
201484179,1450,237,0.163448275862069
201484278,457,0,0
201484392,1997,582,0.2914371557336
201484378,2086,810,0.38830297219559
201484379,1221,329,0.269451269451269
201484335,135,0,0
201484238,0,0,NA
201484219,1265,249,0.196837944664032
201484200,1280,213,0.16640625
201484194,1944,692,0.3559670781893
201484277,1541,170,0.110317975340688
201484186,121,0,0
201484228,776,323,0.416237113402062
201484404,3482,568,0.163124641010913
201484193,2,0,0
201484418,1543,344,0.222942320155541
201484327,1964,569,0.289714867617108
201484266,208,99,0.475961538461538
201484419,1459,401,0.274845784784099
201484329,1290,1,0.000775193798449612
201484521,0,0,NA
201484311,0,0,NA
201484300,1054,243,0.230550284629981
201484284,0,0,NA
201484247,106,30,0.283018867924528
201484403,918,296,0.32244008714597
201484246,474,171,0.360759493670886
201484274,699,213,0.304721030042918
201484243,864,212,0.24537037037037
201484371,1687,597,0.353882631890931
201484281,433,122,0.28175519630485
201484789,2502,929,0.371302957633893
201484424,1754,0,0
201484377,9339,0,0
201484292,748,244,0.32620320855615
201484882,5361,1580,0.294721134116769
201484518,2605,743,0.285220729366603
201484563,2032,777,0.38238188976378
201484282,31,6,0.193548387096774
201484355,1035,466,0.45024154589372
201484467,3762,0,0
201484306,1020,324,0.317647058823529
201484417,547,233,0.425959780621572
201484460,0,0,NA
201484450,0,0,NA
201484337,286,96,0.335664335664336
201484393,1462,105,0.0718194254445964
201484451,1432,0,0
201484317,345,124,0.359420289855072
201484515,0,0,NA
201484336,164,43,0.26219512195122
201484328,1252,0,0
201484411,3662,0,0
201484339,917,329,0.358778625954198
201484406,345,77,0.223188405797101
201484341,0,0,NA
201484523,713,0,0
201484415,2893,497,0.171793985482198
201484361,43,0,0
201484615,1862,340,0.182599355531686
201484477,2137,931,0.435657463734207
201484575,3692,912,0.247020585048754
201484394,1153,218,0.189071986123157
201484416,1008,352,0.349206349206349
201484367,941,334,0.354941551540914
201484577,3321,827,0.24902137910268
201484405,1309,91,0.0695187165775401
201484478,1993,600,0.301053687907677
201484385,1244,407,0.327170418006431
201484561,1095,0,0
201484381,941,218,0.231668437832094
201484382,4,0,0
201484440,146,0,0
201484484,1440,296,0.205555555555556
201484383,65,7,0.107692307692308
201484391,26,1,0.0384615384615385
201484639,3713,1428,0.384594667384864
201484461,157,27,0.171974522292994
201484453,713,244,0.342215988779804
201484439,3423,327,0.0955302366345311
201484503,883,0,0
201484626,1075,218,0.202790697674419
201484599,1255,385,0.306772908366534
201484714,2304,0,0
201484533,2093,512,0.244624940277114
201484674,1268,359,0.283123028391167
201484541,519,142,0.273603082851638
201484452,142,11,0.0774647887323944
201484529,419,0,0
201484530,1548,0,0
201484668,6266,0,0
201484522,180,0,0
201484527,2276,541,0.237697715289982
201484466,1212,0,0
201484616,2151,510,0.237099023709902
201484483,0,0,NA
201484585,0,0,NA
201484620,1410,463,0.328368794326241
201484543,248,93,0.375
201484568,1740,612,0.351724137931034
201484658,6,0,0
201484787,5472,0,0
201484598,570,213,0.373684210526316
201484492,1174,371,0.316013628620102
201484502,898,117,0.130289532293987
201484542,893,297,0.332586786114222
201484511,225,0,0
201484600,300,7,0.0233333333333333
201484791,3492,0,0
201484794,2143,570,0.26598226784881
201484556,6008,1118,0.186085219707057
201485054,335,0,0
201484526,1253,279,0.222665602553871
201484823,4761,0,0
201484540,18,0,0
201484792,2464,0,0
201484548,246,67,0.272357723577236
201484574,442,197,0.445701357466063
201484710,1822,694,0.380900109769484
201484734,4246,0,0
201484587,166,44,0.265060240963855
201484584,1065,372,0.349295774647887
201485390,8101,0,0
201485178,4741,963,0.203121704281797
201484617,425,209,0.491764705882353
201484586,576,89,0.154513888888889
201484601,837,0,0
201484633,1907,817,0.428421604614578
201484677,1906,0,0
201484830,1622,570,0.351418002466091
201484637,1926,709,0.368120456905504
201484795,1085,299,0.275576036866359
201484606,87,0,0
201484839,2289,36,0.0157273918741809
201484836,1646,644,0.391251518833536
201484816,1836,663,0.361111111111111
201484719,1287,159,0.123543123543124
201484709,2351,716,0.304551254785198
201484636,856,254,0.296728971962617
201484696,2217,0,0
201484662,1338,86,0.0642750373692078
201484692,410,99,0.241463414634146
201484654,904,371,0.410398230088496
201484643,860,269,0.312790697674419
201484663,2460,831,0.337804878048781
201485014,2004,814,0.406187624750499
201484769,1205,417,0.346058091286307
201484741,595,200,0.336134453781513
201484786,2072,0,0
201484644,928,301,0.324353448275862
201484701,157,1,0.00636942675159236
201484997,2411,765,0.317295727913729
201484805,1616,0,0
201484755,1886,0,0
201484749,1943,754,0.388059701492537
201484808,1115,402,0.360538116591928
201484736,1667,0,0
201484740,999,216,0.216216216216216
201484735,2287,0,0
201484998,2886,778,0.26957726957727
201484853,0,0,NA
201484723,884,73,0.082579185520362
201485194,2333,959,0.411058722674668
201484700,1302,375,0.288018433179723
201484699,1020,292,0.286274509803922
201484715,299,0,0
201484748,93,44,0.473118279569892
201484999,1736,525,0.30241935483871
201484778,286,91,0.318181818181818
201485019,1405,0,0
201484817,1110,123,0.110810810810811
201484739,860,212,0.246511627906977
201484852,0,0,NA
201484785,3199,0,0
201484893,2461,683,0.277529459569281
201484891,1432,0,0
201484827,160,0,0
201484747,879,22,0.025028441410694
201484845,186,41,0.220430107526882
201484922,936,415,0.443376068376068
201484911,2784,889,0.319324712643678
201485064,3200,772,0.24125
201484826,2048,0,0
201484773,997,0,0
201484968,2569,0,0
201484834,750,333,0.444
201484844,414,187,0.451690821256039
201484952,657,0,0
201484934,1311,480,0.366132723112128
201484936,1843,713,0.386869234943028
201484941,1618,0,0
201484946,1631,299,0.183323114653587
201484984,1783,0,0
201484919,3231,0,0
201485159,5762,0,0
201484831,11,1,0.0909090909090909
201485085,2142,0,0
201484835,868,71,0.0817972350230415
201484964,4670,1426,0.305353319057816
201485009,2087,457,0.218974604695736
201484833,65,0,0
201484868,947,391,0.412882787750792
201485115,1962,658,0.335372069317023
201485107,2521,608,0.241174137247124
201485050,772,189,0.244818652849741
201485282,4342,1348,0.310456011054813
201484935,1324,424,0.3202416918429
201485158,3950,0,0
201484959,2045,0,0
201484923,898,323,0.359688195991091
201484901,913,373,0.408543263964951
201485020,721,251,0.348127600554785
201485097,2042,488,0.23898139079334
201484928,1540,0,0
201484940,172,0,0
201485301,6168,0,0
201484983,1870,0,0
201484979,1357,518,0.381724392041268
201484947,300,0,0
201484927,974,0,0
201485038,2939,0,0
201485049,733,336,0.458390177353342
201485053,1021,0,0
201485063,1718,0,0
201485478,4321,1301,0.301087711177968
201485086,1406,0,0
201484942,7,2,0.285714285714286
201485104,2373,700,0.294985250737463
201484971,1639,354,0.215985356924954
201485021,165,31,0.187878787878788
201485044,1442,0,0
201485037,1652,0,0
201485060,561,0,0
201485458,3219,619,0.192295744019882
201485062,3751,0,0
201485048,1985,634,0.319395465994962
201485045,3166,0,0
201484988,478,0,0
201485167,2923,0,0
201485052,1351,204,0.15099925980755
201485015,2650,764,0.288301886792453
201485205,3693,0,0
201485214,1755,391,0.222792022792023
201485237,2791,0,0
201485226,2150,610,0.283720930232558
201485081,991,464,0.468213925327952
201485036,1735,0,0
201485022,968,140,0.144628099173554
201485866,8043,2128,0.264577893820714
201485099,3366,0,0
201485574,1916,47,0.0245302713987474
201485363,3131,932,0.297668476525072
201485103,270,0,0
201485055,1441,0,0
201485088,836,331,0.395933014354067
201485154,1723,179,0.10388856645386
201485334,2702,0,0
201485124,458,0,0
201485196,918,326,0.355119825708061
201485448,4494,198,0.0440587449933244
201485098,1549,0,0
201485123,1790,0,0
201485238,2074,0,0
201485177,1924,611,0.317567567567568
201485279,2437,0,0
201485556,5847,0,0
201485246,1832,868,0.473799126637555
201485156,1314,366,0.278538812785388
201485204,8936,0,0
201485160,699,0,0
201485155,1192,356,0.298657718120805
201485184,4369,0,0
201485147,1015,284,0.279802955665025
201485607,6808,0,0
201485312,1027,0,0
201485564,7273,0,0
201485230,3193,1087,0.340432195427498
201485203,1706,687,0.402696365767878
201485171,212,16,0.0754716981132075
201485695,5092,2002,0.393165750196386
201485186,1131,113,0.0999115826702034
201485367,1932,0,0
201485399,2720,0,0
201485185,1872,64,0.0341880341880342
201485227,1138,318,0.279437609841828
201485371,1771,516,0.291360813099944
201485387,1748,548,0.31350114416476
201485233,160,18,0.1125
201485978,8779,0,0
201485393,2752,0,0
201485213,78,0,0
201485242,1224,312,0.254901960784314
201485369,1501,7,0.00466355762824783
201485340,304,2,0.00657894736842105
201485450,5611,1676,0.2986989841383
201485356,1545,210,0.135922330097087
201485248,1254,454,0.362041467304625
201485500,3707,880,0.237388724035608
201485231,2903,643,0.221495005167069
201485232,104,9,0.0865384615384615
201485225,3169,820,0.258756705585358
201485247,1177,230,0.195412064570943
201485495,1998,662,0.331331331331331
201485234,1019,390,0.382728164867517
201485271,113,22,0.194690265486726
201485268,1178,294,0.249575551782683
201485355,423,153,0.361702127659574
201485413,891,165,0.185185185185185
201485287,1147,469,0.408892763731473
201485370,994,325,0.326961770623742
201485342,1299,410,0.31562740569669
201485346,2745,0,0
201485521,2611,0,0
201485385,1982,582,0.29364278506559
201485302,1271,257,0.202202989771833
201485361,1407,152,0.108031272210377
201485267,1000,445,0.445
201485503,3856,1138,0.295124481327801
201485483,1784,380,0.213004484304933
201485311,2406,0,0
201485281,2336,572,0.24486301369863
201485305,40,11,0.275
201485333,202,0,0
201485659,1648,449,0.27245145631068
201485299,2456,606,0.246742671009772
201485520,2224,0,0
201485879,6712,0,0
201485341,1187,0,0
201485427,1125,380,0.337777777777778
201485423,2374,0,0
201485728,3096,705,0.227713178294574
201485394,1079,0,0
201485440,385,0,0
201485347,1550,458,0.295483870967742
201485362,71,0,0
201485800,4927,141,0.0286178201745484
201485386,1076,336,0.312267657992565
201485473,5055,0,0
201485526,3140,0,0
201485383,1566,0,0
201485391,1798,599,0.333147942157953
201485801,3812,1252,0.328436516264428
201485372,18,1,0.0555555555555556
201485679,2906,0,0
201485644,4201,0,0
201485477,822,250,0.304136253041363
201485459,2683,796,0.296682817741334
201485449,241,51,0.211618257261411
201485414,618,0,0
201485685,2805,1098,0.39144385026738
201485614,1779,0,0
201485405,1478,0,0
201485419,980,0,0
201485462,3061,0,0
201485443,1526,163,0.106815203145478
201485704,2488,932,0.37459807073955
201485514,1991,454,0.22802611752888
201485407,629,0,0
201485678,2129,0,0
201485468,187,0,0
201485406,826,0,0
201485656,3082,0,0
201485467,1086,0,0
201485444,2039,562,0.275625306522805
201485482,454,242,0.533039647577093
201485527,2885,0,0
201485441,1113,0,0
201485505,938,239,0.254797441364606
201485445,474,156,0.329113924050633
201485511,1015,432,0.425615763546798
201485689,4384,0,0
201485587,1740,472,0.271264367816092
201485575,641,129,0.201248049921997
201485808,3959,939,0.237181106339985
201485599,3252,1098,0.337638376383764
201485542,5092,0,0
201486017,4065,117,0.0287822878228782
201485579,2130,543,0.254929577464789
201485567,1116,357,0.31989247311828
201485773,2515,229,0.0910536779324056
201485504,119,18,0.151260504201681
201485637,1213,342,0.28194558944765
201485593,1313,370,0.281797410510282
201485506,919,141,0.153427638737758
201485513,8,0,0
201485539,984,121,0.122967479674797
201485688,768,207,0.26953125
201485816,3492,572,0.163802978235968
201485597,1327,0,0
201485543,56,0,0
201485561,2401,402,0.167430237401083
201485609,1038,0,0
201485686,1693,376,0.22209096278795
201485600,2357,743,0.315231226134917
201485620,1450,0,0
201485828,3899,0,0
201485598,1831,652,0.35608956854178
201485559,815,0,0
201485636,264,0,0
201485560,911,150,0.164654226125137
201485975,3475,1266,0.36431654676259
201485655,1296,0,0
201485782,1462,15,0.0102599179206566
201485683,2735,0,0
201485913,4203,0,0
201485796,4399,0,0
201485594,866,228,0.263279445727483
201485625,258,101,0.391472868217054
201485670,2149,876,0.407631456491391
201485665,223,50,0.224215246636771
201485580,819,226,0.275946275946276
201485726,1116,559,0.50089605734767
201485630,1425,0,0
201485624,1283,296,0.230709275136399
201485729,743,341,0.458950201884253
201485649,1574,457,0.290343074968234
201485608,1437,0,0
201485759,3408,0,0
