"HydroID","cnt","coreforest_2010_sum","coreforest_2010_pct"
201483540,1321,882,0.667676003028009
201483641,699,324,0.463519313304721
201483617,1252,261,0.208466453674121
201483574,0,0,NA
201483573,1026,475,0.462962962962963
201483640,322,62,0.192546583850932
201483763,0,0,NA
201483582,0,0,NA
201483605,0,0,NA
201483600,862,666,0.77262180974478
201483563,2294,1402,0.611159546643418
201483933,1089,326,0.299357208448118
201483738,0,0,NA
201483581,0,0,NA
201483637,0,0,NA
201483638,0,0,NA
201483692,1571,631,0.401654996817314
201483835,831,548,0.659446450060168
201483580,0,0,NA
201483635,686,210,0.306122448979592
201483586,0,0,NA
201483689,1028,781,0.759727626459144
201483601,701,332,0.473609129814551
201483622,803,378,0.470734744707347
201483737,0,0,NA
201483706,1743,990,0.567986230636833
201483645,0,0,NA
201483794,1239,510,0.411622276029056
201483604,190,117,0.615789473684211
201484085,5918,3816,0.644812436633998
201483793,1055,599,0.567772511848341
201483767,2514,1480,0.588703261734288
201483764,0,0,NA
201483716,0,0,NA
201483857,1996,1463,0.732965931863727
201483723,0,0,NA
201483634,864,438,0.506944444444444
201483670,900,374,0.415555555555556
201483642,39,19,0.487179487179487
201483962,2047,1561,0.762579384465071
201483688,995,485,0.487437185929648
201483733,260,140,0.538461538461538
201483946,0,0,NA
201483660,1131,374,0.330680813439434
201483840,1530,571,0.373202614379085
201483665,0,0,NA
201483771,580,174,0.3
201483652,507,125,0.2465483234714
201483836,1727,653,0.378112333526346
201483735,501,118,0.235528942115768
201483669,306,114,0.372549019607843
201484121,2978,1278,0.429147078576226
201483717,0,0,NA
201484035,1767,746,0.422184493491794
201483766,342,195,0.570175438596491
201483746,0,0,NA
201483734,201,19,0.0945273631840796
201483742,1816,838,0.461453744493392
201483821,0,0,NA
201483964,0,0,NA
201483910,1676,1010,0.602625298329356
201483905,0,0,NA
201483884,0,0,NA
201483790,891,242,0.271604938271605
201483863,679,241,0.354933726067747
201483801,733,251,0.342428376534789
201483741,0,0,NA
201483819,0,0,NA
201483820,0,0,NA
201483781,866,269,0.310623556581986
201483921,1200,792,0.66
201483818,0,0,NA
201483982,0,0,NA
201483769,0,0,NA
201483945,0,0,NA
201483949,1745,775,0.444126074498567
201483788,703,229,0.32574679943101
201483830,0,0,NA
201483950,1314,707,0.538051750380518
201483879,303,43,0.141914191419142
201483935,0,0,NA
201483963,1177,603,0.51231945624469
201483875,437,148,0.338672768878719
201483951,497,172,0.346076458752515
201483977,0,0,NA
201484082,0,0,NA
201483911,597,403,0.675041876046901
201483848,412,33,0.0800970873786408
201483858,44,17,0.386363636363636
201484280,2419,1091,0.451012815212898
201484108,0,0,NA
201484060,984,460,0.467479674796748
201484073,0,0,NA
201483876,822,550,0.669099756690998
201483952,992,359,0.361895161290323
