STA_SEQ,NAME,YLAT,XLONG,HydroID
"14708",Middle River,41.951900000000002,-72.308400000000006,"201487365"
"14712",Transylvania Brook,41.484000000000002,-73.258399999999995,"201495550"
"14711",Transylvania Brook,41.484262000000001,-73.258546999999993,"201495550"
"14710",Shepaug River,41.683396999999999,-73.298267999999993,"201493549"
"14713",Still River,41.950299999999999,-73.049000000000007,"201489398"
"14501",Willow Brook,41.642299999999999,-72.750299999999996,"201492855"
"14358",Noroton River,41.089799999999997,-73.515199999999993,"201497150"
"14714",Naugatuck River,41.512999999999998,-73.052899999999994,"201494999"
"14715",Naugatuck River,41.514000000000003,-73.053899999999999,"201494999"
"14628",Steele Brook,41.568700000000000,-73.057400000000001,"201494372"
"14194",Farm River,41.333100000000002,-72.815299999999993,"201496000"
"14706",Whitford Brook,41.392800000000001,-71.960400000000007,"201494055"
"14725",Seth Williams Brook,41.425699999999999,-71.957300000000004,"201493655"
"14263",Kahn Brook,41.568100000000001,-72.170199999999994,"201492401"
"14739",Susquetonscut Brook,41.572400000000002,-72.132400000000004,"201492324"
"14738",Gardner Brook,41.543300000000002,-72.173400000000001,"201492694"
"14741",Titicus River,41.328699999999998,-73.521799999999999,
"14740",Quaker Brook,41.512349000000000,-73.526949999999999,
"14462",Still River,41.392299999999999,-73.434799999999996,"201496305"
"14720",Green Fall River,41.456800000000001,-71.816900000000004,"201492935"
"14379",Pawcatuck River,41.397799999999997,-71.842200000000005,"201493717"
"14721",Shunock River,41.410100000000000,-71.845200000000006,"201493578"
"14719",Wyassup Brook,41.456600000000002,-71.817200000000000,"201493112"
"14734",Yantic River,41.576599999999999,-72.191800000000001,"201492335"
"14736",Sherman Brook,41.575299999999999,-72.284700000000001,"201492562"
"14735",Yantic River,41.558300000000003,-72.111999999999995,"201492476"
"14727",Latimer Brook,41.410699999999999,-72.221699999999998,"201494497"
"14732",Poquetanuck Brook (Hewitt Brook),41.498100000000001,-72.036500000000004,"201492953"
"14731",Trading Cove Brook,41.502099999999999,-72.123500000000007,"201493122"
"14733",Oxoboxo Brook,41.436599999999999,-72.106200000000001,"201493830"
"14724",Oxoboxo Brook,41.467300000000002,-72.156999999999996,"201493592"
"14722",Oxoboxo Brook,41.446199999999997,-72.125299999999996,"201493826"
"14322",Naugatuck River,41.631000000000000,-73.077200000000005,"201493681"
"14321",Naugatuck River,41.649700000000003,-73.077399999999997,"201493560"
"14848",Naugatuck River,41.537799999999997,-73.036400000000000,"201494782"
"14853",Norwalk River,41.202599999999997,-73.431100000000001,"201496896"
"14858",Flat Brook,41.680100000000003,-72.467299999999994,"201491701"
"14842",Indian Meadow Brook,41.930500000000002,-73.078999999999994,"201489763"
"14843",Sandy Brook,41.990400000000001,-73.058000000000007,"201488861"
"14857",Beaver Meadow Brook,41.443199999999997,-72.545400000000001,"201494722"
"14856",Pond Meadow Brook,41.380699999999997,-72.590400000000002,"201495357"
"14866",Stickney Hill Brook,41.983300000000000,-72.217900000000000,"201486633"
"14862",Bentley Brook,41.558199999999999,-72.136600000000001,"201492616"
"14861",Latimer Brook,41.420900000000003,-72.220900000000000,"201494339"
"14860",Flat Brook,41.406199999999998,-72.074700000000007,"201494127"
"14888",Ekonk Brook,41.710900000000002,-71.877799999999993,"201489847"
"14863",Rocky Brook,42.013399999999997,-71.802000000000007,"201484795"
"14841",FARMINGTON RIVER,41.825699999999998,-72.929500000000004,"201490922"
"14880",Sages Ravine Brook,42.049500000000002,-73.430099999999996,"201488953"
"14859",Shunock River,41.430399999999999,-71.852599999999995,"201493477"
"14840",Mountain Brook,41.974100000000000,-72.837500000000006,"201488932"
"14846",Sawmill Brook,41.585099999999997,-73.510800000000003,"201495052"
"14845",Bull Mountain Brook,41.678199999999997,-73.451499999999996,"201493961"
"14844",Lake Waramaug Brook,41.724299999999999,-73.334500000000006,"201493171"
"15426",Bladens River (Bladdens River),41.387200000000000,-73.019099999999995,"201495886"
"14852",Pumpkin Ground Brook,41.241500000000002,-73.134100000000004,"201496671"
"14849",Limekiln Brook,41.383800000000001,-73.376099999999994,"201496298"
"15303",Eagleville Brook,41.799100000000003,-72.273799999999994,"201489553"
"15304",Eagleville Brook,41.793799999999997,-72.275199999999998,"201489553"
"15308",Blackberry River,42.017099999999999,-73.317800000000005,"201489143"
"15309",Blackberry River,42.015599999999999,-73.314700000000002,"201489143"
"15047",Hockanum River,41.867600000000003,-72.434100000000001,"201489051"
"15046",Charters Brook,41.906199999999998,-72.403499999999994,"201488403"
"15048",Hockanum River,41.866599999999998,-72.464799999999997,"201489051"
"15022",West Branch Saugatuck River,41.243299999999998,-73.409400000000005,"201496789"
"14176",East Branch Naugatuck River,41.812199999999997,-73.122100000000003,"201491547"
"14825",Naugatuck River,41.674300000000002,-73.069500000000005,"201493244"
"14202",Five Mile River,41.136499999999998,-73.479299999999995,"201497080"
"14319",Naugatuck River,41.736100000000000,-73.105400000000003,"201492461"
"14716",Steele Brook,41.591600000000000,-73.096199999999996,"201494209"
"14207",French River,42.024799999999999,-71.884299999999996,"201484922"
"15479",Quinnipiac River,41.599600000000002,-72.885400000000004,"201493770"
"14800",Steele Brook,41.610500000000002,-73.115300000000005,"201494013"
"15543",Pease Brook,41.594700000000003,-72.192300000000003,"201492270"
"15008",Moosup River,41.717199999999998,-71.842200000000005,"201489501"
"15005",Bantam River,41.758800000000001,-73.184100000000001,"201492351"
"15010",Cabin Brook,41.560299999999998,-72.334900000000005,"201492873"
"15011",Crooked Brook,41.599899999999998,-71.906700000000001,"201491385"
"15004",Housatonic River,41.807200000000002,-73.390600000000006,"201492291"
"15012",Pomperaug River,41.521799999999999,-73.206100000000006,"201495076"
"15017",Fivemile Brook,41.384599999999999,-73.159700000000001,"201496073"
"14686",Blackberry River,42.009599999999999,-73.280600000000007,"201489132"
"15024",Wood Creek,41.638700000000000,-73.236199999999997,"201493990"
"15015",Seth Williams Brook,41.439900000000002,-71.974100000000007,"201493547"
"15014",Clark Creek,41.442500000000003,-72.473500000000001,"201494591"
"15020",Eightmile River,41.430000000000000,-72.339200000000005,"201494447"
"15013",Mill River,41.425899999999999,-72.905600000000007,"201495433"
"15018",Farm River,41.406300000000002,-72.771000000000001,"201495387"
"15003",Wappoquia Brook,41.875100000000003,-71.965800000000002,"201487666"
"15299",North Running Brook,41.964500000000001,-71.966600000000000,"201486380"
"14998",Still Brook,42.019199999999998,-72.312700000000007,"201486346"
"15007",Sawmill Brook,41.739800000000002,-72.201700000000002,"201490302"
"15006",Hockanum River,41.807800000000000,-72.520399999999995,"201490199"
"14997",East Branch Salmon Brook,42.013500000000001,-72.843500000000006,"201487925"
"15001",Beach Brook,41.945999999999998,-72.857500000000002,"201489107"
"14130",Beaver Pond Brook,41.539299999999997,-73.007700000000000,"201494586"
"14968",Lily Brook,41.574199999999998,-72.987799999999993,"201494170"
"14969",Mad River,41.574399999999997,-72.988399999999999,"201494164"
"15583",Mad River,41.541300000000000,-73.008899999999997,"201494575"
"14285",Mad River,41.560299999999998,-73.002899999999997,"201494575"
"15093",Fenton River,41.810800000000000,-72.220799999999997,"201489235"
"15092",Fenton River,41.833500000000001,-72.242900000000006,"201488927"
"15990",Spice Brook,41.845900000000000,-72.386499999999998,"201489120"
"14156",Comstock Brook,41.196100000000001,-73.435400000000001,"201496901"
"15857",Mill River,41.152099999999997,-73.272599999999997,"201496934"
"15858",Cricker Brook,41.198399999999999,-73.264700000000005,"201496831"
"14445",Saugatuck River,41.169300000000000,-73.367000000000004,"201496948"
"15357",Sasco Brook,41.145699999999998,-73.301199999999994,"201496958"
"15966",Mill Brook,41.856900000000003,-72.650099999999995,"201489684"
"14576",Sawmill Brook,41.600800000000000,-72.714100000000002,"201493403"
"15413",Belcher Brook,41.604999999999997,-72.757700000000000,"201493424"
"15965",Meadow Brook,41.587100000000000,-72.386799999999994,"201492658"
"16025",Muddy Brook,41.127600000000001,-73.329400000000007,"201497038"
"16002",Pemberwick Brook,41.027400000000000,-73.661000000000001,"201497249"
"15999",Silver Brook,41.266500000000001,-73.004900000000006,"201496532"
"15530",Weekeepeemee River,41.557499999999997,-73.215500000000006,"201494779"
"15854",Muddy River,41.415100000000002,-72.801199999999994,"201495523"
"15855",Willow Brook (Hamden)-01,41.447200000000002,-72.908299999999997,"201495256"
"15087",Muddy River,41.366799999999998,-72.854299999999995,"201495854"
"15997",Town Farm Brook,41.556199999999997,-73.391199999999998,"201495161"
