"HydroID","cnt","openwater_1985_sum","openwater_1990_sum","openwater_1995_sum","openwater_2002_sum","openwater_2006_sum","openwater_2010_sum","openwater_2015_sum"
201483156,37,0,0,0,0,0,0,0
201483159,0,0,0,0,0,0,0,0
201483160,0,0,0,0,0,0,0,0
201483174,0,0,0,0,0,0,0,0
201483183,2864,126,119,113,108,102,102,100
201483185,0,0,0,0,0,0,0,0
201483198,0,0,0,0,0,0,0,0
201483204,1214,28,29,29,42,41,41,41
201483205,1510,58,58,57,56,55,62,62
201483215,2313,19,16,15,18,17,17,16
201483218,824,2,0,0,2,2,2,2
201483219,436,0,0,0,0,0,0,0
201483220,2834,552,544,530,525,520,520,518
201483233,2527,33,42,42,35,35,36,37
201483234,3756,6,4,5,6,18,18,18
201483242,381,109,110,105,104,104,104,103
201483250,0,0,0,0,0,0,0,0
201483252,0,0,0,0,0,0,0,0
201483254,2465,79,77,76,88,87,87,87
201483255,897,4,5,5,5,5,5,5
201483272,0,0,0,0,0,0,0,0
201483276,1313,11,15,12,18,18,18,16
201483284,0,0,0,0,0,0,0,0
201483285,0,0,0,0,0,0,0,0
201483295,2675,22,21,21,49,49,49,48
201483296,2234,101,92,92,74,73,88,88
201483299,3322,17,18,17,17,16,17,17
201483311,1546,30,30,29,30,29,29,28
201483319,2172,6,5,5,5,5,7,7
201483324,2231,11,11,11,11,10,10,10
201483325,1285,0,4,2,4,1,1,1
201483326,1,0,0,0,0,0,0,0
201483327,441,31,19,15,16,16,16,16
201483328,630,77,76,76,75,75,75,75
201483329,1544,200,197,192,191,191,191,188
201483335,0,0,0,0,0,0,0,0
201483336,0,0,0,0,0,0,0,0
201483338,1251,45,45,40,41,41,41,41
201483339,1592,16,16,16,25,24,24,24
201483343,1232,18,19,19,34,34,37,36
201483347,279,83,73,58,56,55,55,55
201483376,979,14,12,12,12,12,12,12
201483387,4775,26,25,25,24,28,28,25
201483388,1060,0,0,0,0,0,0,0
201483394,144,1,1,1,1,1,1,1
201483398,0,0,0,0,0,0,0,0
201483400,1813,56,56,56,56,56,56,56
201483401,3405,22,30,33,56,55,59,58
201483402,381,9,13,12,9,9,9,9
201483403,879,3,1,1,3,3,3,3
201483409,1218,75,70,69,66,65,65,59
201483421,1816,39,34,33,33,33,33,33
201483422,0,0,0,0,0,0,0,0
201483423,0,0,0,0,0,0,0,0
201483432,1145,6,6,6,3,3,3,3
201483433,3496,146,140,132,146,146,147,146
201483434,1489,245,244,244,243,243,243,243
201483435,2952,546,540,528,524,523,523,518
201483436,917,89,85,82,81,81,81,78
201483454,561,19,12,11,8,8,8,8
201483464,124,0,0,0,0,0,0,0
201483471,0,0,0,0,0,0,0,0
201483476,851,160,160,158,158,158,158,158
201483477,1714,2,2,2,16,16,158,155
201483481,1184,33,33,33,34,34,34,34
201483492,0,0,0,0,0,0,0,0
201483493,0,0,0,0,0,0,0,0
201483497,972,1,1,0,0,0,0,0
201483498,239,100,98,99,98,98,98,97
201483506,1031,0,0,0,2,2,2,2
201483540,1766,8,8,11,8,8,8,5
201483543,1755,0,0,0,0,0,0,0
201483544,1005,1,1,1,2,2,2,2
201483550,0,0,0,0,0,0,0,0
201483557,1695,100,94,96,91,91,91,90
201483559,0,0,0,0,0,0,0,0
201483563,2706,12,11,10,23,23,26,13
201483570,0,0,0,0,0,0,0,0
201483572,468,0,0,0,0,0,0,0
201483573,1482,7,8,7,9,9,9,9
201483574,0,0,0,0,0,0,0,0
201483575,0,0,0,0,0,0,0,0
201483580,0,0,0,0,0,0,0,0
201483581,0,0,0,0,0,0,0,0
201483582,0,0,0,0,0,0,0,0
201483584,3353,68,56,45,54,52,52,52
201483585,355,29,23,16,11,11,11,11
201483586,0,0,0,0,0,0,0,0
201483589,1408,13,12,12,13,13,13,12
201483595,856,14,10,5,9,9,9,10
201483600,969,0,0,0,0,0,0,0
201483601,866,3,3,3,4,3,3,3
201483604,226,0,0,0,0,0,0,0
201483605,0,0,0,0,0,0,0,0
201483617,2446,7,9,8,12,12,12,12
201483622,983,8,8,6,5,5,5,4
201483633,2134,57,57,48,47,46,46,44
201483634,1060,1,3,4,1,1,1,1
201483635,1294,234,235,236,231,231,231,229
201483637,0,0,0,0,0,0,0,0
201483638,0,0,0,0,0,0,0,0
201483640,470,0,0,0,0,0,1,1
201483641,1098,219,220,219,218,212,212,210
201483642,44,0,0,0,0,0,0,0
201483643,2865,80,79,79,77,76,76,69
201483645,0,0,0,0,0,0,0,0
201483652,1029,11,11,11,11,11,11,12
201483660,1697,70,57,56,50,50,52,51
201483665,65,65,65,65,65,65,65,65
201483669,510,94,94,92,90,90,90,90
201483670,1269,107,97,98,98,98,98,96
201483688,1362,43,36,28,28,28,28,26
201483689,1096,0,0,2,0,0,0,0
201483692,2016,0,0,0,0,0,0,0
201483693,2567,0,0,0,0,0,0,0
201483706,2260,0,0,0,34,34,34,33
201483716,0,0,0,0,0,0,0,0
201483717,0,0,0,0,0,0,0,0
201483723,0,0,0,0,0,0,0,0
201483733,404,0,0,0,40,40,40,40
201483734,509,35,36,35,33,34,34,34
201483735,1085,3,1,1,0,0,0,0
201483737,0,0,0,0,0,0,0,0
201483738,0,0,0,0,0,0,0,0
201483739,0,0,0,0,0,0,0,0
201483741,4,3,3,3,3,3,3,3
201483742,3154,3,3,3,2,2,7,7
201483746,0,0,0,0,0,0,0,0
201483751,0,0,0,0,0,0,0,0
201483752,0,0,0,0,0,0,0,0
201483763,0,0,0,0,0,0,0,0
201483764,0,0,0,0,0,0,0,0
201483766,413,0,0,10,0,0,0,0
201483767,3313,11,12,40,66,64,64,24
201483769,0,0,0,0,0,0,0,0
201483771,1092,23,23,22,22,22,22,22
201483781,1552,92,89,89,89,89,89,90
201483787,2723,390,388,381,365,365,365,363
201483788,1158,12,14,12,12,12,12,12
201483789,3874,2,4,3,2,2,2,2
201483790,1741,335,334,337,332,332,332,326
201483793,1317,99,107,79,76,76,76,76
201483794,2638,1014,1015,1008,1000,1001,1001,992
201483801,1149,1,4,4,8,5,5,5
201483818,0,0,0,0,0,0,0,0
201483819,0,0,0,0,0,0,0,0
201483820,0,0,0,0,0,0,0,0
201483821,0,0,0,0,0,0,0,0
201483830,0,0,0,0,0,0,0,0
201483835,943,7,8,5,10,10,10,9
201483836,2525,20,19,17,22,17,17,17
201483840,2169,70,67,68,64,64,64,63
201483846,0,0,0,0,0,0,0,0
201483848,854,51,48,48,48,48,48,48
201483857,2210,8,9,10,11,11,11,11
201483858,78,24,14,17,17,17,17,17
201483863,1310,10,3,4,3,4,4,4
201483875,634,1,1,1,1,1,1,1
201483876,950,0,0,0,0,0,0,0
201483879,722,178,175,174,168,170,170,167
201483884,344,0,0,0,0,0,0,0
201483899,909,21,21,21,21,21,21,21
201483905,0,0,0,0,0,0,0,0
201483910,2226,99,60,57,67,66,66,66
201483911,769,0,0,0,0,0,0,0
201483921,2153,222,220,219,218,216,216,210
201483922,1699,55,46,40,41,38,38,36
201483933,2176,593,593,584,578,577,577,570
201483934,2586,172,171,162,159,157,157,155
201483935,0,0,0,0,0,0,0,0
201483945,0,0,0,0,0,0,0,0
201483946,0,0,0,0,0,0,0,0
201483949,2502,75,75,72,72,72,72,72
201483950,1974,112,112,118,112,112,112,109
201483951,885,296,297,280,280,280,280,278
201483952,1383,64,65,66,84,83,83,82
201483959,0,0,0,0,0,0,0,0
201483962,2659,85,95,95,97,97,102,99
201483963,1831,52,55,56,78,78,80,80
201483964,0,0,0,0,0,0,0,0
201483967,1849,351,343,329,326,324,324,322
201483977,0,0,0,0,0,0,0,0
201483982,0,0,0,0,0,0,0,0
201483987,0,0,0,0,0,0,0,0
201483988,0,0,0,0,0,0,0,0
201483994,0,0,0,0,0,0,0,0
201484000,0,0,0,0,0,0,0,0
201484011,1385,14,13,16,11,11,11,9
201484012,603,0,0,0,0,0,0,0
201484017,1111,253,243,241,235,235,235,233
201484029,3164,132,131,127,128,128,128,124
201484035,2625,55,55,138,79,143,143,129
201484041,0,0,0,0,0,0,0,0
201484045,1445,22,21,20,19,19,19,19
201484046,57,0,0,0,0,0,0,0
201484050,871,4,6,5,2,2,2,2
201484051,85,0,0,0,1,1,1,1
201484060,1305,32,12,27,13,15,15,15
201484065,1449,0,0,0,0,0,0,0
201484071,1171,263,252,243,239,238,238,237
201484073,0,0,0,0,0,0,0,0
201484076,2030,1,2,1,2,2,2,2
201484081,0,0,0,0,0,0,0,0
201484082,0,0,0,0,0,0,0,0
201484085,8182,264,258,266,252,251,251,249
201484086,3045,10,10,10,10,10,10,9
201484107,0,0,0,0,0,0,0,0
201484108,0,0,0,0,0,0,0,0
201484114,413,102,98,97,94,93,93,92
201484115,1156,138,129,128,128,127,127,127
201484121,5098,977,952,921,927,940,940,930
201484122,0,0,0,0,0,0,0,0
201484123,0,0,0,0,0,0,0,0
201484127,1217,227,225,222,220,220,220,211
201484129,0,0,0,0,0,0,0,0
201484130,0,0,0,0,0,0,0,0
201484136,682,0,0,0,0,0,0,0
201484139,815,0,0,0,0,0,0,0
201484140,19,0,0,0,0,0,0,0
201484145,1366,0,1,1,0,0,0,0
201484148,3742,0,0,0,0,0,0,0
201484154,0,0,0,0,0,0,0,0
201484156,2110,9,9,4,3,3,3,3
201484158,0,0,0,0,0,0,0,0
201484175,1340,458,453,443,441,441,441,440
201484179,1450,50,50,47,45,45,46,44
201484180,475,20,17,13,11,11,11,10
201484186,121,102,102,101,101,100,100,100
201484187,2004,75,68,65,62,62,62,62
201484188,909,1,1,1,1,1,1,1
201484189,1129,8,8,6,9,8,9,9
201484190,1565,1,0,0,0,0,0,0
201484192,1864,18,16,15,15,15,15,15
201484193,2,0,0,0,0,0,0,0
201484194,1944,268,264,262,253,240,240,238
201484195,3046,449,436,434,426,424,425,415
201484196,979,234,218,215,209,211,211,210
201484200,1280,2,2,1,15,19,19,19
201484201,1326,2,2,2,5,5,5,5
201484218,0,0,0,0,0,0,0,0
201484219,1265,0,1,0,0,0,0,0
201484228,776,4,5,5,7,7,7,7
201484229,2223,90,95,91,134,138,154,152
201484230,671,17,17,17,17,17,17,17
201484238,0,0,0,0,0,0,0,0
201484243,864,1,1,1,1,1,1,1
201484246,474,13,12,12,9,9,9,9
201484247,106,0,0,0,0,0,0,0
201484263,394,0,0,0,0,0,0,0
201484264,1084,0,0,0,0,0,0,0
201484265,2304,207,205,199,199,198,198,198
201484266,208,1,1,0,0,0,0,0
201484274,699,6,8,8,8,8,8,7
201484276,3095,387,383,381,377,376,376,375
201484277,1541,442,434,425,423,422,422,422
201484278,457,0,0,0,0,0,0,0
201484280,3547,35,20,26,16,17,17,17
201484281,433,0,0,0,0,0,0,0
201484282,31,19,19,13,13,13,13,13
201484284,0,0,0,0,0,0,0,0
201484286,2558,36,37,40,40,40,40,40
201484287,1706,10,10,10,11,11,11,11
201484292,748,2,0,0,2,3,3,3
201484300,1054,0,0,0,0,0,0,0
201484305,3649,0,0,0,0,0,0,0
201484306,1020,62,63,62,54,53,53,53
201484311,0,0,0,0,0,0,0,0
201484317,345,2,2,3,2,2,2,2
201484320,1577,0,0,0,0,0,0,0
201484327,1964,54,56,49,51,52,55,55
201484328,1252,15,15,9,0,4,4,4
201484329,1290,0,0,0,0,0,0,0
201484335,135,0,0,0,0,0,0,0
201484336,164,24,24,17,16,16,16,16
201484337,286,0,0,0,0,0,0,0
201484338,3488,8,7,1,4,4,36,36
201484339,917,0,0,0,1,1,1,1
201484341,0,0,0,0,0,0,0,0
201484355,1035,93,93,93,91,91,91,90
201484361,43,0,0,0,0,0,0,0
201484367,941,0,0,0,0,0,0,0
201484371,1687,8,2,2,3,3,3,3
201484377,9339,0,0,0,0,0,0,0
201484378,2086,44,39,32,30,30,31,31
201484379,1221,446,447,448,446,444,444,440
201484381,941,27,25,21,18,17,18,17
201484382,4,0,0,0,0,0,0,0
201484383,65,0,0,0,0,0,0,0
201484384,3040,74,75,74,73,73,73,68
201484385,1244,451,444,444,443,439,439,437
201484391,26,5,4,3,2,1,1,1
201484392,1997,11,12,9,7,7,7,6
201484393,1462,3,3,3,3,3,3,3
201484394,1153,10,10,10,10,10,10,10
201484403,918,95,96,99,93,93,93,91
201484404,3482,30,30,24,28,28,28,28
201484405,1309,23,23,19,19,19,19,21
201484406,345,0,0,0,0,0,0,0
201484411,3662,0,0,0,0,0,0,0
201484412,4657,0,0,0,0,0,0,0
201484415,2893,1,1,5,2,2,2,2
201484416,1008,0,0,0,0,0,0,0
201484417,547,0,0,0,0,0,0,0
201484418,1543,178,165,160,156,158,158,155
201484419,1459,264,266,268,267,263,263,261
201484424,1754,0,0,0,0,0,0,0
201484425,2064,0,0,0,0,0,0,0
201484439,3423,1983,1961,1913,1901,1901,1901,1898
201484440,146,146,146,146,146,146,146,146
201484450,0,0,0,0,0,0,0,0
201484451,1432,0,0,0,0,0,0,0
