HydroID,area_sqkm,length_km
201481302,0.0369,0.262460667
201481296,0.0639,0.348198782
201481330,1.467,1.459315815
201481544,3.0546,3.518067453
201481435,0.6534,1.490807552
201481373,0.4725,0.871841922
201481498,2.3994,2.795463615
201481501,1.3482,3.454177474
201481408,0.5805,0.889936574
201481382,1.9233,1.990240404
201481407,1.53,2.492408039
201481502,3.303,5.066114081
201481469,1.5831,3.3541683
201481636,2.3922,1.90948547
201481500,1.1025,2.131825732
201481478,1.4454,3.115127037
201481514,1.2177,1.188918641
201481651,2.7738,4.929042507
201481511,1.7046,1.765766808
201481532,1.1664,1.338477599
201481711,3.0456,2.890175836
201481455,0.9954,1.597750723
201481627,3.2778,2.522004632
201481574,1.0233,1.816523214
201481635,1.3365,1.941908106
201481479,0.8577,1.455418666
201481659,1.6713,2.428679279
201481628,3.4317,2.29220207
201481515,0.8739,1.791205407
201481733,1.5822,2.875337769
201481600,0.504,0.71637572
201481545,1.3167,1.737309147
201481538,0.0396,0.170208361
201481535,0.4518,0.917879896
201481575,0.8676,1.34839199
201481537,0.0027,0.046462315
201481642,2.7027,6.445759135
201481667,0.7038,1.995545504
201481825,1.2015,1.969220812
201481748,0.954,1.353713634
201481664,2.2815,2.847491099
201481599,0.8937,0.892135563
201481699,1.1277,0.970886489
201481688,0.2358,0.645366323
201481663,2.2329,2.350298492
201481665,3.0942,2.834698515
201482016,5.1237,4.141365192
201481824,2.4417,2.56065108
201481671,0.9063,1.627734515
201481644,0.0072,0.11048055
201481641,0.7866,1.724154229
201481652,0.2889,0.643316927
201481746,0.7983,1.415667852
201481739,0.8019,1.113654341
201481681,1.0107,1.761707776
201481689,0.3951,0.571198405
201481668,0.882,1.853477113
201481940,3.7899,3.488263459
201481648,0.7722,1.117157042
201481682,0.6975,0.828264913
201481740,0.2907,0.707824764
201481747,0.3861,0.426354548
201481700,1.2807,0.037047509
201481712,0.5751,0.793883297
201481732,1.1664,1.692890625
201481741,0.0675,0.328720672
201481831,2.4075,4.223994366
201481762,0.0216,0.192546201
201481887,1.8981,2.186047129
201481796,1.3212,1.475126449
201481972,1.3815,2.722020398
201481873,3.6909,2.109873267
201481800,0.9684,2.110159111
201482058,1.8306,3.609827697
201481982,1.7892,2.215144925
201481902,3.2814,2.499381675
201481946,4.734,4.650176803
201482006,2.2149,3.682112734
201482118,2.5011,2.749595666
201481922,2.0007,6.023496251
201481912,1.1565,2.419043463
201482256,9.5175,6.187651362
201481985,1.5048,2.463066228
201481938,0.5742,1.104566782
201482072,1.1511,3.140800836
201481955,0.6759,1.237925036
201482031,1.3329,3.708884792
201481949,0.0855,0.289500525
201482014,4.239,2.382924799
201481954,1.368,3.708580421
201482138,5.8842,4.489511585
201482005,0.1899,0.42489893
201482013,0.6507,0.912886393
201481977,0.0414,0.199493003
201482137,1.7262,1.644415023
201482171,1.7514,2.911233052
201481986,0.0369,0.262116162
201481990,1.3689,2.426922763
201482012,1.8306,2.948433035
201482037,1.3185,2.151049357
201482135,1.1214,2.182123205
201482231,2.1042,2.073334675
201482062,1.4733,3.63034094
201482017,0.7731,1.220535643
201482047,0.1215,0.359324935
201482158,2.6604,1.792372022
201482055,2.2068,0.629858528
201482249,2.4273,2.567580953
201482103,2.745,6.529884723
201482041,1.0899,1.43531357
201482059,0.0891,0.26383037
201482134,1.6002,1.753380261
201482104,0.0729,0.397096072
201482145,0.9684,0.745987931
201482117,1.2501,1.054426654
201482286,1.1682,1.983845339
201482175,1.1907,2.008168432
201482159,0.9126,1.415475788
201482177,0.3411,1.025364706
201482398,4.1472,10.23460878
201482170,1.0467,0.719622433
201482257,1.9926,3.094364667
201482203,2.1519,1.807194328
201482197,1.5381,1.171454485
201482198,0.8343,0.774642498
201482428,2.5632,2.927319208
201482434,1.7712,3.044572259
201482285,4.1598,5.385714438
201482239,1.1916,1.619954147
201482382,2.8764,3.310857367
201482392,2.1411,2.187683654
201482264,0.4302,0.823139009
201482444,3.6036,4.369570861
201482255,0.5625,1.752050169
201482314,0.1575,0.495590104
201482329,0.2268,0.681887774
201482365,1.692,3.628541179
201482265,0.7128,0.713193097
201482476,1.7883,2.630737136
201482294,1.6443,1.923383202
201482538,2.9997,2.795598861
201482386,1.4472,2.408142142
201482317,2.1735,4.813192896
201482333,1.9836,1.470077444
201482369,0.2439,0.667720315
201482505,5.31,5.467497358
201482364,0.9081,2.317904404
201482361,0.9522,1.497572496
201482362,0.8442,1.659361865
201482656,2.5281,5.094127579
201482780,2.6838,4.971448436
201482387,0.0288,0.314950797
201482692,1.9611,3.342792448
201482670,2.6352,3.014565156
201482435,3.5811,1.974750821
201482556,1.7181,2.322906947
201482430,2.8989,3.767814014
201482391,1.5858,1.819117209
201482409,0.0315,0.171342993
201482467,2.2365,3.38078753
201482649,2.4057,4.665742179
201482543,1.0458,1.834159037
201482456,1.9287,3.592072104
201482681,2.1051,1.755494904
