"HydroID","cnt","wetland_1990_sum","wetland_1990_pct"
201482239,0,0,NA
201482382,0,0,NA
201482392,0,0,NA
201482264,0,0,NA
201482444,0,0,NA
201482255,0,0,NA
201482314,0,0,NA
201482329,0,0,NA
201482365,0,0,NA
201482265,0,0,NA
201482476,0,0,NA
201482294,0,0,NA
201482538,0,0,NA
201482386,0,0,NA
201482317,2343,139,0.0593256508749467
201482333,0,0,NA
201482369,0,0,NA
201482505,0,0,NA
201482364,0,0,NA
201482361,1026,79,0.0769980506822612
201482362,910,55,0.0604395604395604
201482656,2724,248,0.0910425844346549
201482780,2887,239,0.0827848978178039
201482387,0,0,NA
201482692,0,0,NA
201482670,0,0,NA
201482435,0,0,NA
201482556,1849,44,0.0237966468361276
201482430,0,0,NA
201482391,0,0,NA
201482409,0,0,NA
201482467,2405,402,0.167151767151767
201482649,2590,60,0.0231660231660232
201482543,0,0,NA
201482456,0,0,NA
201482681,0,0,NA
201482740,2328,73,0.0313573883161512
201482628,0,0,NA
201482548,960,205,0.213541666666667
201482491,0,0,NA
201482671,0,0,NA
201482564,0,0,NA
201482663,0,0,NA
201482557,965,14,0.0145077720207254
201482549,1734,199,0.114763552479815
201482655,5093,458,0.0899273512664441
201482566,0,0,NA
201482715,0,0,NA
201482735,2622,90,0.034324942791762
201482982,4266,89,0.0208626347866854
201482736,1661,29,0.0174593618302228
201482650,228,2,0.0087719298245614
201482658,0,0,NA
201482577,0,0,NA
201482585,0,0,NA
201482627,0,0,NA
201482983,3275,338,0.103206106870229
201482709,0,0,NA
201482714,0,0,NA
201482686,0,0,NA
201482759,407,0,0
201482800,0,0,NA
201482755,0,0,NA
201482931,0,0,NA
201482683,0,0,NA
201482738,0,0,NA
201482687,0,0,NA
201482747,1057,52,0.0491958372753075
201482716,0,0,NA
201482786,0,0,NA
201482910,4102,90,0.0219405168210629
201482869,1274,58,0.0455259026687598
201482776,0,0,NA
201482760,73,9,0.123287671232877
201482781,1246,115,0.0922953451043339
201482801,0,0,NA
201482868,1090,46,0.0422018348623853
201482765,845,6,0.00710059171597633
201482779,342,0,0
201482899,1613,54,0.0334779913205208
201482926,1912,79,0.0413179916317992
201482788,160,25,0.15625
201483020,0,0,NA
201482819,0,0,NA
201482919,1360,112,0.0823529411764706
201482838,0,0,NA
201482829,0,0,NA
201482877,0,0,NA
201482903,1050,67,0.0638095238095238
201482805,441,14,0.0317460317460317
201482937,1317,75,0.0569476082004556
201482820,0,0,NA
201482828,0,0,NA
201482895,0,0,NA
201482915,0,0,NA
201482941,0,0,NA
201483015,1356,76,0.056047197640118
201482911,1249,312,0.249799839871898
201483044,0,0,NA
201482927,1036,56,0.0540540540540541
201483098,0,0,NA
201482920,97,92,0.948453608247423
201482904,988,49,0.0495951417004049
201483183,2864,133,0.0464385474860335
201482966,1783,203,0.113853056646102
201482945,118,3,0.0254237288135593
201482939,936,37,0.0395299145299145
201482965,281,65,0.231316725978648
201483025,0,0,NA
201483018,0,0,NA
201483053,575,164,0.285217391304348
201482961,1371,183,0.133479212253829
201483070,631,72,0.114104595879556
201483019,0,0,NA
201483174,0,0,NA
201483205,1510,122,0.080794701986755
201483140,2354,147,0.062446898895497
201483014,2336,48,0.0205479452054795
201483234,3756,447,0.119009584664537
201483054,1052,96,0.091254752851711
201483033,0,0,NA
201483295,2675,244,0.091214953271028
201483062,140,42,0.3
201483031,1405,173,0.123131672597865
201483039,0,0,NA
201483115,0,0,NA
201483128,0,0,NA
201483254,2465,225,0.0912778904665314
201483150,0,0,NA
201483050,0,0,NA
201483091,0,0,NA
201483154,0,0,NA
201483116,1626,31,0.0190651906519065
201483204,1214,50,0.0411861614497529
201483433,3496,473,0.135297482837529
201483119,0,0,NA
201483141,1996,100,0.0501002004008016
201483198,0,0,NA
201483319,2172,201,0.0925414364640884
201483120,0,0,NA
201483127,0,0,NA
201483143,0,0,NA
201483160,0,0,NA
201483387,4775,365,0.0764397905759162
201483139,681,6,0.00881057268722467
201483156,37,0,0
201483252,0,0,NA
201483285,0,0,NA
201483296,2234,138,0.0617726051924799
201483339,1592,35,0.0219849246231156
201483215,2313,140,0.0605274535235625
201483159,0,0,NA
201483272,0,0,NA
201483335,0,0,NA
201483233,2527,218,0.0862683023347843
201483250,0,0,NA
201483185,0,0,NA
201483242,381,17,0.0446194225721785
201483276,1313,159,0.121096725057121
201483401,3405,302,0.0886930983847283
201483325,1285,16,0.0124513618677043
201483435,2952,43,0.0145663956639566
201483219,436,66,0.151376146788991
201483220,2834,311,0.109738884968243
201483218,824,64,0.0776699029126214
201483299,3322,35,0.0105358217940999
201483343,1232,132,0.107142857142857
201483328,630,23,0.0365079365079365
201483471,0,0,NA
201483327,441,55,0.124716553287982
201483338,1251,45,0.0359712230215827
201483311,1546,129,0.0834411384217335
201483255,897,195,0.217391304347826
201483398,0,0,NA
201483336,0,0,NA
201483402,381,14,0.036745406824147
201483570,0,0,NA
201483284,0,0,NA
201483575,0,0,NA
201483324,2231,68,0.0304796055580457
201483477,1714,304,0.177362893815636
201483329,1544,43,0.0278497409326425
201483846,0,0,NA
201483400,1813,66,0.036403750689465
201483326,1,1,1
201483394,144,28,0.194444444444444
201483376,979,97,0.0990806945863126
201483643,2865,238,0.0830715532286213
