"HydroID","cnt","openwater_2010_sum","openwater_2010_pct"
201482392,0,0,NA
201482264,0,0,NA
201482444,0,0,NA
201482255,0,0,NA
201482314,0,0,NA
201482329,0,0,NA
201482365,0,0,NA
201482265,0,0,NA
201482476,0,0,NA
201482294,0,0,NA
201482538,0,0,NA
201482386,0,0,NA
201482317,2343,54,0.0230473751600512
201482333,0,0,NA
201482369,0,0,NA
201482505,0,0,NA
201482364,0,0,NA
201482361,1026,3,0.00292397660818713
201482362,910,0,0
201482656,2724,78,0.0286343612334802
201482780,2887,39,0.0135088326983027
201482387,0,0,NA
201482692,0,0,NA
201482670,0,0,NA
201482435,0,0,NA
201482556,1849,18,0.00973499188750676
201482430,0,0,NA
201482391,0,0,NA
201482409,0,0,NA
201482467,2405,4,0.00166320166320166
201482649,2590,145,0.055984555984556
201482543,0,0,NA
201482456,0,0,NA
201482681,0,0,NA
201482740,2328,24,0.0103092783505155
201482628,0,0,NA
201482548,960,8,0.00833333333333333
201482491,0,0,NA
201482671,0,0,NA
201482564,0,0,NA
201482663,0,0,NA
201482557,965,0,0
201482549,1734,0,0
201482655,5093,181,0.0355389750638131
201482566,0,0,NA
201482715,0,0,NA
201482735,2622,16,0.0061022120518688
201482982,4266,439,0.102906704172527
201482736,1661,47,0.0282962071041541
201482650,228,0,0
201482658,0,0,NA
201482577,0,0,NA
201482585,0,0,NA
201482627,0,0,NA
201482983,3275,117,0.0357251908396947
201482709,0,0,NA
201482714,0,0,NA
201482686,0,0,NA
201482759,407,17,0.0417690417690418
201482800,0,0,NA
201482755,0,0,NA
201482931,0,0,NA
201482683,0,0,NA
201482738,0,0,NA
201482687,0,0,NA
201482747,1057,8,0.0075685903500473
201482716,0,0,NA
201482786,0,0,NA
201482910,4102,63,0.015358361774744
201482869,1274,0,0
201482776,0,0,NA
201482760,73,1,0.0136986301369863
201482781,1246,36,0.028892455858748
201482801,0,0,NA
201482868,1090,8,0.0073394495412844
201482765,845,7,0.00828402366863905
201482779,342,9,0.0263157894736842
201482899,1613,5,0.00309981401115933
201482926,1912,91,0.0475941422594142
201482788,160,0,0
201483020,0,0,NA
201482819,0,0,NA
201482919,1360,25,0.0183823529411765
201482838,0,0,NA
201482829,0,0,NA
201482877,0,0,NA
201482903,1050,14,0.0133333333333333
201482805,441,64,0.145124716553288
201482937,1317,1,0.000759301442672741
201482820,0,0,NA
201482828,0,0,NA
201482895,0,0,NA
201482915,0,0,NA
201482941,0,0,NA
201483015,1356,5,0.00368731563421829
201482911,1249,65,0.0520416333066453
201483044,0,0,NA
201482927,1036,0,0
201483098,0,0,NA
201482920,97,0,0
201482904,988,1,0.00101214574898785
201483183,2864,102,0.0356145251396648
201482966,1783,0,0
201482945,118,0,0
201482939,936,4,0.00427350427350427
201482965,281,0,0
201483025,0,0,NA
201483018,0,0,NA
201483053,575,7,0.0121739130434783
201482961,1371,46,0.0335521517140773
201483070,631,0,0
201483019,0,0,NA
201483174,0,0,NA
201483205,1510,62,0.0410596026490066
201483140,2354,19,0.008071367884452
201483014,2336,52,0.0222602739726027
201483234,3756,18,0.00479233226837061
201483054,1052,10,0.00950570342205323
201483033,0,0,NA
201483295,2675,49,0.0183177570093458
201483062,140,12,0.0857142857142857
201483031,1405,65,0.0462633451957295
201483039,0,0,NA
201483115,0,0,NA
201483128,0,0,NA
201483254,2465,87,0.0352941176470588
201483150,0,0,NA
201483050,0,0,NA
201483091,0,0,NA
201483154,0,0,NA
201483116,1626,119,0.0731857318573186
201483204,1214,41,0.0337726523887974
201483433,3496,147,0.0420480549199085
201483119,0,0,NA
201483141,1996,8,0.00400801603206413
201483198,0,0,NA
201483319,2172,7,0.00322283609576427
201483120,0,0,NA
201483127,0,0,NA
201483143,0,0,NA
201483160,0,0,NA
201483387,4775,28,0.00586387434554974
201483139,681,133,0.195301027900147
201483156,37,0,0
201483252,0,0,NA
201483285,0,0,NA
201483296,2234,88,0.0393912264995524
201483339,1592,24,0.0150753768844221
201483215,2313,17,0.00734976221357544
201483159,0,0,NA
201483272,0,0,NA
201483335,0,0,NA
201483233,2527,36,0.0142461416699644
201483250,0,0,NA
201483185,0,0,NA
201483242,381,104,0.272965879265092
201483276,1313,18,0.0137090632140137
201483401,3405,59,0.0173274596182085
201483325,1285,1,0.000778210116731518
201483435,2952,523,0.177168021680217
201483219,436,0,0
201483220,2834,520,0.18348623853211
201483218,824,2,0.00242718446601942
201483299,3322,17,0.00511739915713426
201483343,1232,37,0.0300324675324675
201483328,630,75,0.119047619047619
201483471,0,0,NA
201483327,441,16,0.036281179138322
201483338,1251,41,0.0327737809752198
201483311,1546,29,0.01875808538163
201483255,897,5,0.00557413600891862
201483398,0,0,NA
201483336,0,0,NA
201483402,381,9,0.0236220472440945
201483570,0,0,NA
201483284,0,0,NA
201483575,0,0,NA
201483324,2231,10,0.00448229493500672
201483477,1714,158,0.0921820303383897
201483329,1544,191,0.123704663212435
201483846,0,0,NA
201483400,1813,56,0.0308880308880309
201483326,1,0,0
201483394,144,1,0.00694444444444444
201483376,979,12,0.0122574055158325
201483643,2865,76,0.0265270506108202
201483347,279,55,0.197132616487455
201483423,0,0,NA
201483789,3874,2,0.000516262261228704
201483434,1489,243,0.163196776359973
201483493,0,0,NA
