"Source","FEATUREID","NextDownID","Shape_Leng","LengthKM"
"Delineation",201481537,201481667,42.426406858,0.04242640686
"Delineation",201481538,201481667,188.787426069,0.18878742607
"Delineation",201481544,201481825,2398.26867182,2.39826867182
"Delineation",201481545,201481825,464.137458124,0.46413745812
"Delineation",201481574,201481748,846.647239824,0.84664723982
"Delineation",201481575,201481748,366.119745965,0.36611974597
"Delineation",201481599,201481688,295.983170913,0.29598317091
"Delineation",201481600,201481688,663.537896984,0.66353789698
"Delineation",201481627,201481644,1538.74285735,1.53874285735
"Delineation",201481628,201481644,2173.89377003,2.17389377003
"Delineation",201481634,201481746,3812.92720498,3.81292720498
"Delineation",201481635,201481824,1337.89512642,1.33789512642
"Delineation",201481636,201481739,1711.86480947,1.71186480947
"Delineation",201481641,201481682,235.490391468,0.23549039147
"Delineation",201481642,201481537,1613.5191221,1.6135191221
"Delineation",201481644,201481940,90.0000000037,0.09
"Delineation",201481648,201481663,165,0.165
"Delineation",201481651,201481652,3170.96456561,3.17096456561
"Delineation",201481652,201481746,347.163457301,0.3471634573
"Delineation",201481659,201481740,2316.89775759,2.31689775759
"Delineation",201481663,201481740,2214.25500386,2.21425500386
"Delineation",201481664,201481663,2132.0329796,2.1320329796
"Delineation",201481665,201481940,2118.14635204,2.11814635204
"Delineation",201481667,201481831,1278.73155831,1.27873155831
"Delineation",201481668,201481831,218.848441423,0.21884844142
"Delineation",201481671,201481739,522.449970622,0.52244997062
"Delineation",201481681,201481682,557.635116284,0.55763511628
"Delineation",201481682,201481652,787.045358743,0.78704535874
"Delineation",201481688,201481689,646.972564984,0.64697256498
"Delineation",201481689,201481824,578.207066715,0.57820706671
"Delineation",201481699,201481712,745.890893395,0.7458908934
"Delineation",201481700,201481712,135.03612011,0.13503612011
"Delineation",201481711,201481435,2823.23616474,2.82323616474
"Delineation",201481712,201481711,796.579242527,0.79657924253
"Delineation",201481732,201481762,498.411577572,0.49841157757
"Delineation",201481733,201481762,1667.5919393,1.6675919393
"Delineation",201481739,201481887,1093.98809563,1.09398809563
"Delineation",201481740,201481887,590.117551141,0.59011755114
"Delineation",201481741,201481711,258.41546986,0.25841546986
"Delineation",201481746,201481747,1304.24292741,1.30424292741
"Delineation",201481747,201481689,423.105773651,0.42310577365
"Delineation",201481748,201481972,1204.79368729,1.20479368729
"Delineation",201481762,201482058,159.529189983,0.15952918998
"Delineation",201481796,201481741,912.544102744,0.91254410274
"Delineation",201481800,201482058,651.734228949,0.65173422895
"Delineation",201481824,201481982,2455.04696971,2.45504696971
"Delineation",201481825,201481982,1856.15151684,1.85615151684
"Delineation",201481831,201481972,2887.62638027,2.88762638027
"Delineation",201481873,201481747,1233.02029446,1.23302029446
"Delineation",201481887,201482256,1649.25516392,1.64925516392
"Delineation",201481902,201481741,2046.10252466,2.04610252466
"Delineation",201481912,201481985,491.617004248,0.49161700425
"Delineation",201481922,201481954,873.75126702,0.87375126702
"Delineation",201481938,201482256,629.904650075,0.62990465007
"Delineation",201481940,201482138,3128.29556037,3.12829556037
"Delineation",201481946,201481938,3200.49252925,3.20049252925
"Delineation",201481949,201481985,311.518950518,0.31151895052
"Delineation",201481954,201481949,1619.49570795,1.61949570795
"Delineation",201481955,201481902,566.061053828,0.56606105383
"Delineation",201481972,201482103,1765.21385235,1.76521385235
"Delineation",201481977,201481949,188.972095915,0.18897209591
"Delineation",201481982,201482231,1615.63322857,1.61563322857
"Delineation",201481985,201481986,2361.9905635,2.3619905635
"Delineation",201481986,201482103,237.413010758,0.23741301076
"Delineation",201481990,201482231,1110.02477026,1.11002477026
"Delineation",201482005,201481938,450.853060299,0.4508530603
"Delineation",201482006,201482047,1807.95490614,1.80795490614
"Delineation",201482012,201482047,1345.81940463,1.34581940463
"Delineation",201482013,201482138,755.764578562,0.75576457856
"Delineation",201482014,201482013,2315.8141046,2.3158141046
"Delineation",201482016,201482249,3971.682046,3.971682046
"Delineation",201482017,201482249,105,0.105
"Delineation",201482031,201481954,837.52960976,0.83752960976
"Delineation",201482037,201481977,513.53719126,0.51353719126
"Delineation",201482041,201482005,514.324301916,0.51432430192
"Delineation",201482047,201482059,331.816699135,0.33181669914
