staSeq,date,reachLen,totalInd,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
17004,1989-07-11,155,117,1989,4,0.68518519,3,0.314814815,3.685185204
14187,1989-07-12,150,307,1989,5,0.67915309,3,0.320846906,4.358306167
16123,1989-07-12,50,60,1989,4,0.75,3,0.25,3.75
14446,1989-07-13,200,535,1989,3,1,NA,0,3
16306,1989-07-18,100,27,1989,1,1,NA,0,1
17016,1989-07-18,150,595,1989,3,0.8,4,0.2,3.2
14438,1989-07-18,150,385,1989,3,0.657142857,4,0.34285714,3.342857131
16999,1989-07-19,150,335,1989,3,1,NA,0,3
16506,1989-07-19,50,77,1989,3,0.9025974,2,0.097402597,2.902597395
14540,1989-07-19,100,134,1989,5,0.833333333,6,0.16666667,5.166666687
16815,1989-07-19,100,67,1989,5,1,NA,0,5
16553,1989-07-20,100,12,1989,5,1,NA,0,5
16505,1989-07-20,100,77,1989,5,1,NA,0,5
14857,1989-07-20,50,53,1989,1,1,NA,0,1
15220,1989-07-24,150,379,1989,2,0.5,3,0.5,2.5
16616,1989-07-24,100,81,1989,4,1,NA,0,4
16567,1989-07-25,150,74,1989,4,1,NA,0,4
16653,1989-07-25,150,258,1989,3,0.7751938,2,0.224806202,2.775193803
16667,1989-07-26,50,173,1989,5,1,NA,0,5
16517,1989-07-26,120,199,1989,4,0.50837521,3,0.491624791,3.508375212
16611,1989-07-27,150,364,1989,4,1,NA,0,4
15014,1989-07-31,50,76,1989,2,1,NA,0,2
16765,1989-07-31,150,267,1989,4,0.666666667,5,0.33333333,4.333333317
16854,1989-07-31,50,82,1989,5,1,NA,0,5
16112,1989-07-31,100,175,1989,4,1,NA,0,4
16605,1989-08-01,100,33,1989,5,1,NA,0,5
16940,1989-08-01,50,35,1989,6,1,NA,0,6
16646,1989-08-01,150,192,1989,5,1,NA,0,5
15241,1989-08-02,150,367,1989,5,1,NA,0,5
14440,1989-08-03,300,904,1989,3,1,NA,0,3
17019,1989-08-03,240,703,1989,3,0.886439071,4,0.11356093,3.113560932
15221,1989-08-07,200,917,1989,3,0.894402036,4,0.10559796,3.105597947
16644,1989-08-07,75,253,1989,5,1,NA,0,5
16973,1989-08-08,150,270,1989,4,1,NA,0,4
17209,1989-08-08,48,160,1989,4,1,NA,0,4
16968,1989-08-09,100,86,1989,5,0.965116279,6,0.03488372,5.034883715
16860,1989-08-09,150,303,1989,3,0.90759076,2,0.092409241,2.907590762
15179,1989-08-09,150,323,1989,3,1,NA,0,3
17030,1989-08-17,100,188,1989,4,1,NA,0,4
16512,1989-08-18,107,219,1989,4,0.95091324,3,0.049086758,3.950913234
14552,1989-08-21,150,256,1989,5,1,NA,0,5
14286,1989-08-22,150,209,1989,4,0.576555024,5,0.42344498,4.423444996
16846,1989-08-23,150,230,1989,3,1,NA,0,3
16847,1989-08-23,150,231,1989,5,1,NA,0,5
16637,1989-08-24,150,565,1989,3,0.7079646,2,0.292035398,2.707964596
16617,1989-08-24,150,519,1989,2,0.642857143,3,0.35714286,2.357142866
15205,1989-08-28,140,308,1989,4,1,NA,0,4
14827,1989-08-29,150,234,1989,5,0.75,4,0.25,4.75
14242,1989-08-31,150,275,1989,3,1,NA,0,3
15316,1989-08-31,52,159,1989,3,1,NA,0,3
